# FILE DATA
ID : MDRW2100024599
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그 꼬맹이?
P1 	: ㅇㅇ함 집에 다시 갔더니
P1 	: 수정골수 또 달래서
P1 	: 또 줌
P0 	: 아니
P0 	: 내가 전에 말한
P0 	: 뱀뼈머리 옆에
P1 	: 아ㅇㅇ
P0 	: 감실이랑 npc있는갓
P1 	: 세번기도하면
P1 	: 보상 주는거
P1 	: 또 기도 가능하길래
P1 	: 또 해봄
P1 	: 울림풀 달라는애도
P1 	: 또 줄수잇길래
P1 	: 또 줘봐서
P1 	: 울림풀 채집지 부족해.....
P0 	: ㅇㅎ 그거 기도 세번 하면
P0 	: 다음날 상자주니까
P0 	: 4일동안 열심히 해...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그랰
P0 	: 라이덴 플레이 홍보영상 올라왔는데
P0 	: 누가 번개의 신 아니랄까봐
P0 	: 번쩍번쩍 난리도 아니네
P1 	: 오?
P1 	: ㅎㅏ나도 5성....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그치만 이번 뽑기 안돌릴거잖아
P1 	: 그치만
P1 	: 안돌려됴 가지고는 싶어....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 지금 몇연 돌렸어?
P0 	: 한 10연이나 20연만 돌려보ㅓ
P1 	: 아직 70연
P1 	: 안대
P1 	: 나오면
P0 	: ㅇㅎ
P0 	: 천장이 멀지 않았구나
P1 	: 혹시 2.2에서 소 복각오면
P1 	: 2천장을
P0 	: 음
P1 	: 못찍잔아.....
P0 	: 그럴 일은 없어보이긴 하는데...
P1 	: 행복회로 태워야지
P0 	: 너무 불타서 계정 던지는거 아니냐구....
P1 	: 이번에 안오면
