# FILE DATA
ID : MDRW2100028062
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 긴머리세요?
P0 	: 넹
P0 	: 단발은 관리가 귀찮아요!
P0 	: 잘랐을 때는 편한데
P0 	: 잡초처럼 자라는 머리 감당이ㅜ
P1 	: 단발 거기 존이 있다더라구요
P1 	: 못견딘다든데
P0 	: 맞아요 거기ㅜㅜ
P0 	: 전 심지어 머리도 빨리 자라는데
P0 	: 그 구간을 못 견뎌요
P0 	: 다시 확 자르거나
P0 	: 평생 단발존을 넘는 기장을 고수하거나
P0 	: 전 후자를 골랐쥬ㅎㅎ
P1 	: 오
P1 	: 어디까지 오나요?
P1 	: 등 중간?
P0 	: 허리 넘어요ㅎ
P0 	: 코로나 핑계로 미용실을 안 갔더니ㅜ
P0 	: 이제 그 길이로 자르러 가야죠
P1 	: 오아
P1 	: 김태원 아저씨만큼 기네요
P0 	: 머리카락은 왜 자라는 걸까요
P0 	: ㅋㅋ 나란히 있으면 형제 같쥬?ㅎㅎ
P1 	: ㅋㅋㅋㅋㄱㅋ
P1 	: 머리카락은 세상에 나오고 싶어합니다
P0 	: 그나마 허리 넘으면 잘 안자라긴 해요ㅋㅋ
P0 	: 이 세상에 뭐 볼거 있다구ㅜㅜㅜ
P1 	: 김태원아저씨 형제가 있자나여
P0 	: 그게 저입니다
P1 	: 아름답습니다
P0 	: 민간사찰 하셨나유
P1 	: 네
P1 	: 제 전문입니다
