# FILE DATA
ID : MDRW2100019849
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 제주
principal_residence : 광주
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 직장 다니시나요?
P0 	: 네 직장에 다니고 잇어요
P0 	: &name2&님은요?
P1 	: 저도요ㅎ
P1 	: 오늘 너무 스트레스였어요...
P0 	: 무슨 일이 있었나요ㅠ
P1 	: 2주동안 작업하던게 있었는데...
P1 	: 엎어졌어요ㅋ...
P0 	: 헉
P0 	: 너무 허탈할것같아요ㅠ
P1 	: 아니...제품이 여러종류가 있으면 그 중에 이거 이거 해라 하고 몇가지 픽해줬거든요?
P1 	: 그래서 열심히 조사하고 정리해놔서 발표하니까ㅋㅋㅋㅋㅋ
P1 	: 갑자기 위에서 처음 정해준 제품들도 좋은데 다른 제품으로 해야할 것 같다는거에요?
P1 	: 아니 그럼 미리 얘기를 해주던가ㅜㅜ
P0 	: 진짜 윗사람들은 왜그러는거져?
P0 	: 처음 정해진대로 가던가
P0 	: 아니면 애초에 잘 정해주던가
P1 	: ㅋㅋㅋㅋㅋ그러니까요!!!!
P1 	: 그래서 이게 좀 큰 프로젝트여서 본부장님이 책임지신거였는데...
P1 	: 본부장님ㅋㅋㅋ회의에서 웃고는 계셨지만ㅋㅋㅋ
P1 	: 나오셔서 빡쳐하셨죠...
P0 	: 회의때 웃고계신게 정말 프로다 ㅋㅋㅋㅋㅋ
P1 	: 사실 이게  2주짜리도 아니었어요ㅋ최소 한달이상 걸리는 프로젝트인데 급하다고 2주내로 만들라해서 다들 급하게 만들ㅇ었던건데..
P0 	: 그럼 야근도 많았겠어요
P1 	: ㅋㅋㅋㅋㅋㅋ전 곧 때려칠거에요ㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋ 이직하시는건가요??
P1 	: 사실 이게 저랑 맞지도 않았고...
P1 	: 좀 쉬다가 다른 일하려구요..
P0 	: 다른일 어떤거 생각하고계신가요?
P1 	: 제출 후 이어서 얘기해도 될까요?ㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋ 넼ㅋㅋㅋㅋㅋ
