# FILE DATA
ID : MDRW2100015703
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 네이버웹툰중에 흑막여주 그거 보셨어요?
P1 	: 허구내!!!!
P1 	: 헉 네네!!!
P1 	: 그 밤톨
P1 	: 너무 귀엽죠
P0 	: 밤톨이ㅠㅠㅜㅜ아 모시던 아가씨가 도련님이 되어버렸다 도 보고있어요!
P1 	: 허얼
P1 	: 진짜 잼난거만 쏙쏙 골라보시네요
P1 	: 그 작품 재미있었던게 공녀 이런게 아니고 시녀잖아요 근데
P1 	: 공녀님(맞나?)을 모셨는데 그게 사실은 남주다라는점이
P1 	: 너무 재미있어어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 맞아요 인생로판 있으세요?
P1 	: 저는 ..어..
P1 	: 그 남주의 엄마가 되었다ㅜ아시나요
P1 	: 아니다
P1 	: 괴물공작가의 계약공녀
P1 	: 그거가 제일 잼써요
P0 	: 둘 다 아는 제가 레전드ㅜ
P0 	: 베아트리체 웹툰 아시나요?
P1 	: 네네네
P1 	: 쓰읍..그것도 잼죠
P1 	: &name1&님의 인생로판인가요???
P0 	: 그런거같아요^-^,,, 너무 많아서 못고르지만 오늘은 이걸로 픽할게요!
P1 	: 쪼아요 쪼아욬ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아니 다아시는게 레전드
P0 	: 아 그것도 봐요 남주의 첫날밤을 가져버렸다?
P1 	: 네이버거!!!
P1 	: 하 그거 결혼할때 너무 슬펏어요
P0 	: 황자가 너무 짜증났어요..
