# FILE DATA
ID : MDRW2100006890
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 충남
principal_residence : 경기
current_residence : 강원
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오늘 하루종일 비가 오더라고요
P0 	: 계신 곳 날씨는 어때요?
P1 	: 저희도 계속 비가왔어요.
P1 	: 내일도 비온다네요. ㅜㅜ
P0 	: 헉 주말인데 또 비가 오나요?
P0 	: 비는 평일에 왔으면 좋겠어요 ㅋㅋ 주말엔 집 앞이라도 나가게
P0 	: 그래도 많이 시원해져서 좋아요. 얼마 전까진 에어컨
P0 	: 에어컨을 하루종일 틀었는데
P1 	: 네 맞아요.
P1 	: 요즘 시원해져서 좋아요ㅋ
P1 	: 더운건 너무 싫어하거든요ㅋ
P0 	: 어우 저두요
P1 	: 지금 날씨가 딱 좋았는데 비가와서ㅜㅜ
P0 	: 더우면 머리가 다 띵해요
P1 	: 맞아요.ㅋ
P0 	: 맞아요. 미세먼지도 없고
P1 	: 에어컨바람때문에 ㅋㅋ더 그래요
P0 	: 습도 낮고 기온도 낮아져서
P0 	: 저 진짜 좋았거든요
P0 	: 일년내내 요즘만 같아라 했는데
P0 	: 비오고 습도 높아져서 쫌..
P1 	: 네 저도요.
P1 	: 시원해져서 좋았다가ㅜㅜ
P1 	: 일기예보보니
P1 	: 일주일 비오더라구요.
P0 	: 일주일이요? ㅠㅠ세상에
P0 	: 우중충하겠어요...
P1 	: 네 ㅠ 제습기도 틀고
P1 	: 해야될것같아요.
P1 	: 너무 습해서요
P0 	: 에어컨이 가고 제습기의 계절인가요 ㅎㅎ
P0 	: 습도만 높지 않아도 정말 쾌적하더라고요
