# FILE DATA
ID : MDRW2100029648
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 경기
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>그 외 사회적 관계
intimacy  :  3
contact_frequency  :  주 1~2회

P1 	: 이번 휴일이 긴 추석에는 여행계획이 어떻게되시나요???
P0 	: 아직은 계획이 없습니다
P0 	: 님은요?
P1 	: 저는 집에서 뒹굴거리다가 친정하루 시댁하루 갈예정입니다
P0 	: 오 서울여행을 하시는군욤
P0 	: 시골도 가십니까??
P1 	: 시골이 따로  없습니다
P1 	: 다들 서울경기에 있어서
P1 	: 시골이 없어요ㅠㅠ
P0 	: 앗
P0 	: 대전은 안가시나요 이제?
P1 	: 네 대전은 일하러 가는거예요
P0 	: 앗....여행이 아니라니....!!!!
P1 	: 천안도 할머니 돌아가시고 갈일이 없어요
P0 	: 기념품 없나오
P0 	: 아....
P0 	: 근데 추석여행은
P0 	: 어디든 사람이 몰릴 것 같아요
P1 	: 대전에는 빵집
P0 	: 역시
P0 	: 성심당인가요??
P1 	: 유명한빵집이 있어요
P1 	: 네
P1 	: 성심당
P0 	: 아 성심당은 못참죠ㅠㅋㅋㅋㅋ
P0 	: 대전 여행가면 칼국수 먹으라던데요
P0 	: 맛있나요??
P1 	: 저는 잘모르겠어요
P1 	: 여전에 맛녀석들에서 꿩냉면이랑 비빔국수 맛집있다고 들었어요
P1 	: 비빔칼국수인가???
P0 	: 우와 꿩냉면 진짜 끌리네요
P0 	: 대전 여행 꼭 가야겠네요
