# FILE DATA
ID : MDRW2100039324
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 점심드셨나요?
P1 	: 안녕하세요ㅎㅎ
P1 	: 넵 점심 먹었습니닷
P1 	: 라면 먹었어요ㅎㅎ &name1&님은요?
P0 	: 안녕하세요~
P0 	: 저는 오늘 쌀국수 먹었어요ㅎㅎ
P0 	: 쌀국수 좋아하시나요?
P1 	: 오 쌀국수 맛있었겠네요!!
P1 	: 네!! 저 쌀국수랑 짜조... 스프링롤 딤섬 등등
P1 	: 베트남 음식 엄청 좋아해요!!
P1 	: 말하니까 먹고 싶네요ㅎㅎ
P0 	: 와~!!
P0 	: 저는 오늘 분짜 먹었어요
P0 	: 짜조 맛있조~~~
P1 	: 분짜bbbb 먹고 싶네요ㅠ
P0 	: 쌀국수 싫어하는 사람도 있던데ㅎㅎ
P0 	: 고수 좋아하세요??
P1 	: 아ㅎㅎ 네!!! 고수 엄청 좋아해요
P1 	:  
P0 	: 와우!! 저는 처음에 한입 먹어보고 괜찮다 싶어서 엄청 먹었는데
P0 	: 그때 화장품 맛이 나서 못먹게 되었어요..ㅠㅠㅎㅎ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ고수 못먹어요 이제
P1 	: ㅜㅜㅠㅠㅠㅠ사실 화장품냄새가 나긴 하죠ㅋㅋㅋㅋ
P1 	: 전 고슈 좋아해서 멕시칸 음식도 엄청 좋아해요
P1 	: 멕시칸 음식 좋아하시나요~??
P0 	: 우와 신기해요~!! 네네 타코도 좋아하고
P0 	: 부리또도 멕시칸음싣인가요?
P1 	: 넵!!
P1 	: 전 정말 좋아하는데 지금 이사온 동네에
P1 	: 맛집이 없네요ㅠㅜㅜㅠ
P0 	: 부리또 좋아해요ㅎㅎ
P0 	: 헉....
P0 	: 멕시칸 음식 파는 곳이 없는 건가요??
P1 	: 넵ㅜㅜㅠㅠㅠ부리또 파는 곳은 있는데 완전 맛없었어요ㅠㅠㅜ
P1 	: 부리또가 다 타고 밥이 설익었더라구요ㄴㅇㄱ
P0 	: 헐~!! 그런 곳도 있어요?? 시간 지나면서 잘하시겠죠..이제ㅠㅠㅠ아까워요
P0 	: 처음 문 여셨나봐요ㅠㅠ
P1 	: ㅜㅜㅠㅠ맞아요ㅜ 넘 아쉬웠어요
P1 	: 나중에 시간 지나고 다시 방문해보려고요ㅎㅎㅋㅋㅋㅋ
