# FILE DATA
ID : MDRW2100013367
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 여행

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 가을되면 단풍이 예쁠테니까 내리진 안아도 차타고 드라이브라도 해보려구요
P1 	: 그것도 괜찮네요 달리면서 보는 단풍도 좋죠
P1 	: 해외여행은 꿈도 못꾸고
P1 	: 진짜 예전 사진만 보는거 같아요
P0 	: 해외여행을 못가서 저도 예전 여행사진 들여다보고 있어요..
P0 	: 여꿘도 디자인 바꼈는데 써먹지도 못하고..
P1 	: 어디가 좋으셨어여?
P0 	: 도심지를 좋이해서 뉴욕이나 파리가 맘에 들더라구요^^
P1 	: 다양하게 가보셨나바여
	  전많이 다녀보진 않아서
P1 	: 코타키나발루에서 느긋하게 수영하던게 좋았어여ㅋㅋ
P0 	: 네 수십개국 가봤어요.. 근데 오히려 국내여행은 안해본 듯요
P0 	: 코타키나발루 저도 가봤어요^^
P0 	: 친한 언니랑 같이 가서 스노쿨링하고 양고기 먹고 했던 거 생각나네요..ㅎㅎ
P1 	: 와 진짜 많이 다녀보셨네요
P1 	: 그러시면 지금 못가니까 더 아쉬우시겠어요
P0 	: 완전 아쉽죠. 18년도에 가고 못가고 있어요
P0 	: 19년도에 여권만료라서 새디자인여권이 20년에 나온다고 그걸로 바꾸고 간다고 안갔었는데 20년부터 이렇게 코러나 터질줄 알았다면 19년도에 그냥 해외 나갔다올걸 하고 후회중이에요
P1 	: 자주 나갔던 사람들은 진짜 더 그렇겠네요
P1 	: 전 두세 나라밖에 나가보질 않았거든요
P0 	: 어디어디 가셨어요?^^
P1 	: 일본이랑 홍콩이요
P1 	: 일본은 일년 살았었어여
P1 	: ㅋㅋ
P0 	: 홍콩은 정말 못간게 아쉬운데.. 가려고 친구들이랑 다 계획했다가 딱 사스 유행해서 못갔어요..
P0 	: 일본은 가봤네요..ㅎ
P1 	: 홍콩은 그냥 야경만 이뻣어여ㅋㅋ
P0 	: 사진으로는 정말 멋지던데요~
P0 	: 일본은 온천여행으로 며칠 다녀왔어요.. 벳부던가..
P1 	: 온천좋죠
P1 	: 야외온천 그립네여
P0 	: 네 야외온천.. 새로웠어요.. 겨울에 갔는데도 야외온천 따뜻하더라구요~
P1 	: 맞아여 온천은 겨울이좋아여
P0 	: 근데 일본 음식은 생각보다 제 입엔 안맞더라구요. .밍밍해서.. 일년정도 사시면서 만이 드셨을텐데 괜찮아나요?
P1 	: 전오히려 짜던데여
