# FILE DATA
ID : MDRW2100047645
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저 지금까지 에어컨 틀다 껐어요
P0 	: 많이 더우세요?
P1 	: 그게 습도 때문에요
P1 	: 애아빠가 힘들어해서
P0 	: 맞아요 습하긴 해요 ㅠㅠ
P1 	: 습도 맞추려고
P1 	: 뽀송뽀송해 졌어요
P0 	: 저도 그냥 더운건 괜찮은데 습도높은게 힘들어요 ㅠㅠ
P1 	: 저희 도마뱀도 습도 높음 아파요
P1 	: 맞아요 끈적해요
P0 	: 아 도마뱀도 습도가 높으면 안되는구나
P0 	: 도마뱀도 종류가 다양해서 그런가요
P0 	: 동남아에서 봤던 도마뱀들은 그 습한 날씨에도 멀쩡해보엿는데 ㅋㅋㅋㅋ 신기하네요
P1 	: 종류가 그래요
P1 	: 건조한곳 살던 녀석이라
P1 	: 그래서 사육장에 제습기 돌려요
P1 	: 저희는 없어도
P0 	: 우와 그렇구나
P1 	: 도마뱀들은 사줬어요 ㅋㅋ
P0 	: 올여름 쉴새없이 제습기 돌렷겟어요
P0 	: 계속 습햇는데ㅠㅠ
P1 	: 전기세 ㅋㅋ10만원 넘어요
P1 	: 맞아요
P1 	: 전 에어컨요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ에어컨도 계속 틀고 ㅋㅋㅋㅋ
P1 	: 계속 돌렸어요
P1 	: 습하면 너무 불쾌해요
P0 	: 맞아요 찐득찐득한 기분
P1 	: 윽
P1 	: 오늘도 너무 찐득
P0 	: 맞아요 오늘도 비는 안왓는데 습도는 높네요
