# FILE DATA
ID : MDRW2100027853
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저 요새 이건희전시회? 예약하고 싶은데 경쟁이 너무 치열해요
P0 	: 이건희가 참 별걸 다 가지고 있었더라고요
P0 	: 온갖 좋은 걸 다
P0 	: 저도 예약 시도하려고 했다 포기했어요
P0 	: 사람들 관심 한풀 식고 코로나도 좀 잠잠해지면 나중에 가려고요
P1 	: ㅋㅋㅋㅋ앜ㅋㅋㅋㅋ
P1 	: 맞아요 예약하려면 자정 땡치고 들어가야한대요
P0 	: 치열한 클릭 끝에 선택받은 소수에게만 기회가 주어진다
P0 	: ㅋㅋㅋ
P1 	: 공연 좋아하시면
P1 	: 광클 잘하시겠네요!!
P0 	: 수강신청과 피켓팅을 거쳐 어느 정도는
P0 	: 할 수 있게 된 거 같아요
P0 	: 서버 시간 확인 하고 무한 광클
P1 	: 와 전문가의 향기가 느껴집니다
P1 	: 전 진짜 쪼렙인데....
P1 	: 제친구 콘서트 용병 도와주면 맨날 실패해요 ㅋㅋㅋㅋ
P0 	: ㅜㅜㅋㅋㅋ어느순간 렙업의 시기가 찾아올거예요
P0 	: 좋은 친구 분이시네요 콘서트 티켓팅 용병으로 참전해 주시고
P0 	: 백업이 있다는 것만으로도 든든하죠 성공 여부를 떠나서
P1 	: 친구도 저 한번 도와줘서 서로 상부상조하고 있어요 ㅋㅋ
P1 	: 워너원 팬이었는데... 워너원 해체 이후 용병도 너무 힘들었어요 횟수가 늘어나서 (...)
P0 	: 워너원 그룹 해체하고 개인 활동 각자 하니까
P0 	: 횟수가 늘어나게 되었나보군요
P0 	: 찐우정
P0 	: 리스펙
P1 	: 아닙니다 중간에 한번 때려침...
P1 	: 개인활동도 뭐 팬클럽 선예매 일반예매 이런거 다 챙기니까 진짜 많더라구요ㅋㅋㅋㅋ
P0 	: 그렇겠어요
P0 	: 덕질도 부지런하고 성실해야
P0 	: 할 수 있는 시계가 오다니
P0 	: 시대
P1 	: 요새는 무슨 vr 콘서트 같은 것도 하더라고요 아이돌이 ㅇㅇ
