# FILE DATA
ID : MDRW2100022571
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 주제 고르기가 진짜 애매하네 식음료냐 쇼핑과상품이냐
P1 	: 아이스크림이랑 초코렛만 생각햇어요 ㅋㅋㅋㅋ
P0 	: 네 초코파이도 민트초코맛 있더라니까요?
P1 	: 아 저 오예스먹어봤어요 ㅋㅋㅋㅋ
P0 	: 카페음료, 아이스크림 등은 그래도 민초맛 잘 살려낼 거 같은데
P1 	: 그건 괜찮던데요!
P0 	: 과자는 흉내만 냈을 거 같아서 더 반감 들엉 ㅗㅠ
P0 	: 오 맛이 괜찮아요 ?
P0 	: 진짜 민초 구현해냈나요
P1 	: 앜ㅋㅋㅋㅋ근데 맛없게만드는건 좀 유죄 ㅠ
P0 	: ㅋㅋㅋㅋ아 오예스도 먹어보고 싶네요
P1 	: 사실 아이스크림은 못따라와요 ㅠㅠ
P0 	: 미니 오예스도 되게 아기자기하게 귀여웠어요
P0 	: 먹어봤어요?
P1 	: 네네 ㅋㅋㅋㅋ맛나요
P1 	: 최애과자있어요?
P0 	: 오예스가 해태건가요?
P0 	: 저는 최애과자는 잘 모르겠어요
P0 	: 아 생각났어요!!
P0 	: 저 허니버터칩 좋아해요!!
P1 	: 크 허니버터칩 맛아요
P0 	: 과자 중에 허니버터칩 최고에요
P1 	: 맥주안주로딱입니다
P0 	: 그거 유행 끝나고도 쭉 먹었어요
P1 	: 저두요 ㅋㅋㅋㅋ다양한 맛으로도 나왓더라구요
P0 	: 앗 그래요~?
P0 	: 허너버터 아몬드도 맛있던데 헤
P1 	: 네네 트러플 뭐이런거두잇구 ㅋㅋㅋㅋ
P0 	: 님은 쿠크다스 좋아하시죠?^^;; ㅎㅎ
P1 	: 맞아요 저도 그거 좋아해욬ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ진짜 닉값하실 줄이야
