# FILE DATA
ID : MDRW2100004407
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 그쵸
P1 	: 지난번에 산 딸기보드카 밀키스 타먹음 딸기우유 느낌으로 맛있더라고요
P1 	: 무려 이틀 연속으로 마셨어요 ㅋㅋ
P1 	: 날씨가 더워서 그거 시원하게 마시는 게 주스 느낌이었던 듯 합니다
P1 	: 그 이후론 다시 음료는 물과 탄산수 위주로 마시고 있네요.. &name1&님은 어떤 음료 좋아하세요
P0 	: 제가 제일 좋아하는건 우유죠
P0 	: 탄산도 배달음식먹을때 아니면 잘 안먹어요
P0 	: 우유 요구르트를 제일 많이 먹고 좋아해요
P0 	: 가끔 우유말고 다른게 마시고싶을때는 상큼한 과일주스?이런거 먹는편이에요
P1 	: 우유사랑맨이시군요
P0 	: 사실 오늘 점심 우유랑 밥이랑 김치먹었어요
P1 	: 요구르트는 마시는 요구르트를 더 좋아하세요 아님 떠먹는거? 당없는 그릭요거트도 괜찮더라구요 꾸더억꾸더억
P1 	: 오 우유에 말아드신거에요?
P0 	: 네..괴식이지만 좋아햐요ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 요규르트 다 좋어햐요!!! 주로 마시는거 먹는 편인데 떠먹는건 밥대신 씨리올 조금해서 먹을땨도있어요
P0 	: 전에는 달달한거 좋아했는데 당 없는것도 잼이나 씨리얼 있으니까 그것대로 맛있도라구요
P0 	: 식빵에 발라먹기도 해요 잼반 요거트 반 해서 남은 요거트에 푹 찍어먹는거죠
P1 	: 저희 엄마도 옛날에 우유에 밥 말아드셨대요
P1 	: 처음에는 괴 식이라고 생각했는데 크림리조또 같은 것도 있으니까
P1 	: 간만 맞으면 되는거 아닐지..?
P1 	: 호밀빵이랑 그릭요거트도 잘 어울리더라구요 ㅋㅋ 최근엔 오디잼 사서 얹어먹는거 좋아요
P0 	: 오오 정말요? 저 저말고 처음들었어요
P1 	: 비스켓에 발라먹을땐 살구잼이랑 하면 잘 어울리더라구요
P1 	: 우유 밥말기 꽤 많을걸요? 뭐 검색해보면 약간 민초느낌으로 마니아들이 있는
P0 	: 대박 &name2&님 어머님 봰적 없지만, 우유의 맛을 잘 아시는 분일거라 생각합니다
P0 	: 제 주변엔 하나도 없더라구요ㅠ 가족들도 절 이해못햐요
P0 	: 친구들도 다 그렇게..먹어..? 맛있어..? 이런 반응이라ㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋ네 저희 어머니 우유사랑맨이세요
P1 	: 채채님 가족중에는 우유를 그렇게 많이들 안드시나요?
P0 	: 우유를 저만큼 마시진 않으셔요ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저는 밥먹을 때 한잔 그냥 물 말고 시원한거 마시고 싶어서 한잔 이렇게 마시니까 그런가봐요
P1 	: 오 우유도 저지방우유 무지방우유 다양하잖아요
P1 	: 그중에 특히 좋아하는거 있으세요?
P0 	: 저는 기본만 먹어요 뭐하나 더하지도 덜하지도 않은
P0 	: 칼슘우유 저지방 무지방은 쳐다보지않아요ㅋㅋㅋㅋㅋㅋ
P0 	: 약간 맛이 달라서그런지 손이 안가요
P1 	: 오..
P1 	: 우유에 엄격한 &name1&님 ㅋㅋㅋ
P1 	: 전 한동안 무지방우유 마셨어요 뭔가 묽은게 당겨서
P1 	: 그러다가 채식 동물권 이런거 알게되면서 우유랑 계란부터 끊었지만 ㅎㅎ
P0 	: 어흑..전 치즈를 줄였어요
P0 	: 계란도 요즘은 전보다 덜먹고있죠
P0 	: 중학생때 학교가기전에 아침밥 계란간장밥으로 후딱 먹고 나가는게 일상이라 계란 엄청 먹었던거같아요
P1 	: 저도 완전 끊진 못했어여
P1 	: 글고 자취생이나 급하게 움직일때 가장 저렴하고 다양하게 활용가능한 단백질=계란이니까 ㅋㅋ
P1 	: 계란 빼고나면 갑자기 많은 걸 잃은 느낌이 나기도 하더라고요
P1 	: 일단 줄일 수 있는 만큼 줄이는 것도 한걸음 나아간거라 생각헙니다
P0 	: 맞아요 줄이려고 노력하고있어요 히히
P1 	: 훌륭하십니다
