# FILE DATA
ID : MDRW2100009388
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 요새도 니가 저녁밥하나?ㅋ
P1 	: 웅 ㅠㅠ
P1 	: 최근엔 동생이 좀 하고있다 ㅋㅋㅋ
P1 	: 남이 해주니까 편함 ㅋㅋㅋ
P0 	: 고생한다ㅋ
P0 	: 난 혼자 사니 해주는밥은 못먹지만 해줘야하는 사람도 읍넹ㅋ
P1 	: ㅋㅋㅋㅋ그게 최고임
P1 	: 안먹고싶으면 안먹고
P0 	: ㅋㅋㅋ그런듯ㅋ
P0 	: 보통 반찬 뭐해줘?
P1 	: 설거지도 하기싫으면 걍 뒀다가 나중에 하고 ㅋㅋㅋ
P1 	: 그때그때 냉장고에 있는재료 때려넣기 ㅋㅋㅋ
P1 	: 냉털이지
P0 	: ㅋㅋㅋ좋넹
P0 	: 난 할줄아는게 없어서 매번 같은거 일듯ㅋ
P1 	: 생선조림 로제떡볶이 감자볶음 버섯전골
P1 	: 두부전골
P0 	: 오..호화롭다
P1 	: 버섯볶음
P0 	: 로제 떡볶이를 집에서ㅋ
P1 	: 이름만 저렇지 실제는 걍 한번에 넣고 끓이거나 볶는수준
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 버섯전골도 신기ㅋ
P0 	: 울집에서 못먹던 메뉴ㅋ
P1 	: 육수끓으면 버섯이랑 야채넣으면 끝이야
P1 	: 캬캬캬
P0 	: 그래도..ㅋ 난 육수 낼줄도 몰라ㅋ
P1 	: 아 육수팩 마트에 파는거 끓는물에 넣으면 끝이야
P1 	: 보리차 끓이듯이 ㅋㅋ
P1 	: 누구나 할 수있지
P0 	: 아하ㅋㅋ 세상 조쿠나
P1 	: 응 돈만있으면 밀키트 사서 먹으면 편할듯
P0 	: 그건그래ㅋ 그래도 밀키트는 뭔가 대기업의 맛이야
