# FILE DATA
ID : MDRW2100012739
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 우와ㅎㅎ 전 한번도 안시켜먹어봤어요ㅎㅎ
P1 	: 메뉴가 어떻게되요?ㅎ
P0 	: 전 다좋아한답니다
P0 	: ㅎㅎㅎ
P1 	: 싱싱하죠?ㄹㄹ
P1 	: 사이드메뉴도 좋겟네요ㅎㅎ
P1 	: 보통 1팩에 얼마정도해요?
P0 	: 음 가격이
P0 	: 다 달라가지고요ㅋㅋㅋ ㅎㅎ
P1 	: ㅎㅎ 그렇겠네요ㅎ 보통 배달은 언제시키세요?
P0 	: 전 진짜 자주시킨답니다ㅋㅋㅋㅋ
P0 	: 배민 천생연분이예요
P1 	: 다들 배민이시구나ㅎㅎ
P1 	: 전 요기요 슈클이요ㅎㅎ
P1 	: 3천원 할인되니ㅎ 이런 꿀테크ㅎㅎ
P0 	: 오 슈클하나요?
P0 	: 전한번했다가 9900이라
P0 	: 이젠안하네요ㅋㅋㅋ
P1 	: 요즘 파리바게트 포장때문에 돼지클렂이라고해요ㅎ
P1 	: 1만원이상 주문시 5천원 + 슈클3천원 이면 2천원 실결제되서
P1 	: 그래서 안해요
P1 	: 돼지 될까봐ㅎㅎㅎㅎ
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 살찐돼지는 그래도
P0 	: 행복하지않을까요?
P1 	: 주위에서 행복하면 좋을텐데ㅎㅎ
P1 	: 왜 살찌면 주위에서 그렇게 난리를 치는지ㅎㅎ
P1 	: 전 그래서 나중에 나이들면 아에 살쪄버릴까 생각중이에요ㅎ
P0 	: 맞아요ㅋㅋㅋ
P0 	: 우리나라는참
P0 	: 왜그러는지모르겟어요
P1 	: 그럼 디져트는 보통 뭐드세요?
P0 	: ㅋㅋㅋ 저는디저트는
P0 	: 음료?
P0 	: 정도요
P1 	: 커피는안드시구요?ㅎㅎ
P1 	: 음료는 탄산?
P0 	: 제가 아메를 안먹는답니다ㅋㅋㅋ
P0 	: 달다구리한음료요!
P1 	: 이여ㅎ 저두요ㅎㅎ
P1 	: 달달한게 최고죠ㅎ
P1 	: 아메는 무슨맛으로 먹는걸까요?
P0 	: ㅋㅋㅋ 맞아요
P0 	: 근데 커피진짜많이들드시더라고요
P0 	: 라면 좋아하세요?
