# FILE DATA
ID : MDRW2100028941
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 단모음

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  가족>형제자매
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 나 아르바이트 해봤어
P1 	: 정말 힘들엇어
P0 	: 진짜루?
P0 	: 무슨 아르바이트 했는데?
P1 	: 햇엇잖아!!!!!!!!!
P1 	: 학원 알바 했었는데
P0 	: 웅
P1 	: 사실 학원에 가기 전엔
P1 	: 힘들어죽을것같지만
P0 	: 웅
P1 	: 막상 알바 하는동안은
P0 	: ㅋㅋ
P1 	: 그럭저럭 괜찮더라구 ㅎㅎ
P0 	: 괜찮네
P0 	: ㅎㅎ
P0 	: 급여는 얼마나 받았어?
P1 	: 너도 꼭 해봐
P0 	: 웅 !!
P1 	: 학원에서 배우는거랑 학원일 도우는거랑..
P0 	: 된다면
P1 	: 학원 가는 느낌이 달라
P0 	: 꼭 해보구싶어
P0 	: 그렇구나!!
P1 	: 그리고 복사기 쓰는 방법도 배울 수 있어 ㅋㅋ
P0 	: 급여는 얼마나 받얐냐니깐
P0 	: 오!
P0 	: 재밌겠당
P0 	: ㅎㅎ
P1 	: 그런건 비밀이여
P0 	: 알겠어 ㅡㅡ
P1 	: 나중가면 바뀔거야 ㅎㅎ
P0 	: 회사 다니는 건 어떤느낌일까 ?!?!?!?!!
