# FILE DATA
ID : MDRW2100014772
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 오늘 날씨 좀
P0 	: 선선하지 않았어?
P1 	: 맞아 요즘
P1 	: 날씨 완전 시원함
P1 	: 잘때 선풍기도 안틀어
P0 	: 그치
P0 	: 며칠 비오더니
P0 	: 시원해짐
P0 	: 이제 가을이 오는듯??
P1 	: ㅇㅈ
P1 	: 아까 밖에 나갔을때
P1 	: 진짜 가을인줄알았어
P0 	: 맞아
P0 	: 맨날
P0 	: 팔 걷고 다녔는데
P0 	: 그저께부턴가
P1 	: 아 요즘 반팔입으면 좀 춥더라
P1 	: 저번에 전시회 보러갔을때
P0 	: 팔 내리고 다녀
P1 	: 끝날때쯤은 거의
P1 	: 덜덜 떨면서봄
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 넌 아예 긴팔입고다니냐
P1 	: 요즘 에어컨틀면 좀 추울정도야
P0 	: 더위를 안타기때문에
P0 	: 바로 긴팔행
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 혹시 여름에 태어나섰어요
P0 	: 네
P1 	: 라고 말하고 생각해보니
P0 	: 정확합니다
P1 	: 그러네요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 추위싫어
P1 	: 겨울 조아
P0 	: 겨울
P0 	: 눈만 조아
P1 	: 벌레없는것도 조아
P0 	: 근데 군대에선
P0 	: 싫었어
P0 	: 다시 좋아질 예정
