# FILE DATA
ID : MDRW2100015214
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 광주
principal_residence : 대구
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저 이것저것 안가리고 읽어요 ㅋㅋㅋㅋ
P1 	: 이번에 천개의 파랑도 재미있게 읽었어요
P0 	: 오 그건 소설인가요??
P1 	: 네네 국내 소설인데
P1 	: 장르는 sf인데 내용이 엄청 감동적이예요
P0 	: 오 근데 우리나라 요새 젊은 작가들 sf 소설 잘쓰는거같지않아요?
P0 	: 많이는 못 읽어봤는데 보통 베스트셀러 훑어보면 신인작가들이 sf 많이 쓰더라구요
P0 	: 그 중에 빛과 같은 속도로 갈 수 없다면? 이라는 소설도 보니까 sf인것같았어요
P1 	: 맞아요 요즘 sf쪽이 흥하더라구요 ㅋㅋㅋㅋㅋ
P1 	: 그건 단편집인데
P1 	: 그것도 봤어요!
P0 	: 그거 어땠어요?? 읽을만한가요??
P1 	: 전... 개인적으로 천개의 파랑쪽이 더 취향이었어요
P1 	: 빛과 같은~ 이거는 작가님이
P1 	: 소수자들...소외된 사람들 이런 내용을 sf로 엮어쓰신건데
P1 	: 천개의파랑쪽은 작가님이 문과쪽이시고... 빛과같은~ 이 작가님은 정말 이과쪽 분이셔서
P1 	: 아무래도 sf요소가 더 많이나와서
P1 	: 저는 쫌 취향이 아녔어요 ㅋㅋㅋㅋ
P0 	: 아하ㅠㅠㅠ 뭔가 상상이 잘 안가는 줄거리이긴한데
P0 	: 천개의 파랑 한번 읽어봐야겠네요 sf는 아예 세계관 있고 심오한거 아니면 가벼운 줄거리가 좋더라구요
P0 	: 시집은 좋아하세요?
P1 	: 시집도 좋아해요!
P1 	: 그런데 시집은 소설에 비해 많이 찾지는 않는 것 같아요 ㅠㅠㅋㅋㅋㅋㅋ
P1 	: 추천하는 시인 있으신가요
P0 	: 민음사 세계 시인선중에
P0 	: 페르난두 페소아 
	  시는 내가 홀로 있는 방식
P0 	: 이 책 내용 좋아요!
P1 	: 오
P1 	: 메모해둘게요
P0 	: 넹넹 시집도 읽으면 읽을수록 안지루하고 재밌어용
P1 	: 외국 시는 오히려 거의 안읽어봐서
P1 	: 새롭네요 ㅋㅋㅋㅋㅋㅋ
