# FILE DATA
ID : MDRW2100022876
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 기타 사회 생활 및 활동>군대

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 여기 섬나라야
P0 	: 왜 섬나라야?
P1 	: 삼에 군대가이써
P0 	: 아 군대구나 거기서 뭐해?
P1 	: 서북도서 절대사수
P0 	: 그게 뭐야?
P1 	: 백령도 대청도 소청도 연평도 우도를 지키지요
P0 	: 섬을 지키는거야?
P1 	: 그치그치
P1 	: 너는 어디야
P0 	: 오늘은 뭐했어?
P0 	: 나는 집이야
P1 	: 오늘은 휴일과업했어
P0 	: 휴일과업이 뭐야?
P1 	: 아무것도한게없어
P1 	: 폰만 주구장창
P0 	: 아 일 쉬는 날이야(
P0 	: ?
P1 	: 그치그치
P1 	: 넌 군필이야?
P0 	: 주말에 쉬는거야?
P0 	: 나 여자야
P1 	: 그치 주말에는 셔
P0 	: 평일에는 모해?
P1 	: 평일에는 작업!
P0 	: 무슨 작업?
P1 	: 그냥 제초하고 이것저것
P0 	: 제초가 뭐야?
P1 	: 풀베는거 바보야
P0 	: 그렇구나
