# FILE DATA
ID : MDRW2100023183
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 우와 스포츠!
P0 	: 저 원래 올림픽에 관심 없었는데
P0 	: 양궁은 정말 숨죽이고 봤어요!
P1 	: 양궁은 다른 스포츠처럼 평소에 자주 접할 수 없는 스포츠다보니까 올림픽 때 더 집중 받는 것 같아요 ㅋㅋㅋ
P1 	: 저도 양궁은 시간 찾아가면서 챙겨 봤어요 ㅎㅎ
P0 	: 맞아요!
P0 	: 선수는 정적인데
P0 	: 화살은 정말 빠르다는 점에서
P0 	: 신선하기도 하고...!!!
P0 	: 우리나라 양궁 잘하는 거 너무 신기해요 ㅎㅎㅎ
P1 	: 우스갯소리로 쏴야 할 사람이 많아서 양궁 잘한다고 그러기도 하더라고요 ㅎㅎ
P1 	: 저도 과녁에 4명 정도 사진 걸 수 있을 것 같아요 ㅋㅋㅋㅋ
P0 	: 아나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그런 말이 있었어요?! 몰랐네요!!!!
P0 	: 우리나라는 하긴... 옛날부터
P0 	: 고구려 시대에도 활을 잘 쐈더랬죠!!
P0 	: 그리고 부정부패가 없는 것도 한몫하는 거 같아요 ㅎㅎ
P1 	: 협회가 운영을 잘해서 참 마음에 들어요 ㅎㅎ
P1 	: 저는 요즘 배구도 챙겨 보는데....
P1 	: 과녁에 배구협회 사진도 걸어야 할 것 같아요 ^.^
P0 	: 헉 맞아요
P0 	: 아니 그리고
P0 	: 여남에 따라서
P0 	: 연봉 다른거 진짜
P0 	: 개에바 아니냐구요
P1 	: 맞아요. 실력대로 연봉 책정되는 건 당연한건데
P1 	: 배구 같은 경우는 연봉이 서로 바껴야 정상이죠
P1 	: 올림픽 누가 출전했는지... ㅎㅎ
P0 	: 그러게 말이에요 ㅎ
P0 	: 심지어 인지도도 더 높은데 말이에요
P0 	: 남자 야구는
P0 	: 툭하면 성매매해서 들키기나 하는데 말이죠
P0 	: 저도 김연경 선수 경기하는거 실제로 보고싶네요ㅠ
P1 	: 중국 가지않는 이상 이제 기회가 없겠죠ㅠㅠ
P1 	: 야국는 진짜.. 이번에 껌 논란도 그렇고 헤엄 쳐서 왔어야 해요 ㅋㅋㅋ
P0 	: 맞아요 진짜 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 비행기 타면 안되고 헤엄쳐서 와야죠 ㅋㅋㅋ 아 너무 웃겨요
P0 	: 제 친구들 중에 야구 오랫동안 보는 애들 많았는데
P0 	: * 봐왔던 !
P0 	: 최근에 다들 탈덕했다고 하더라구요
P1 	: 다들 참다참다 터졌나봐요 ㅋㅋㅋㅋ
P1 	: 그 연봉을 차라리 여배한테 줘야하는데...
P1 	: 그 연봉 받으면서 뭐하는건지 모르겠어요
P0 	: 그러니까 말이에요! 세상이 바뀌어야해요!!!
