# FILE DATA
ID : MDRW2100009429
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 약간 이것도 안심각하게보는거 같아요
P1 	: 특히 일드중 코믹수사물들은 ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ 아 일드 코믹수사물은 본적이없어요
P0 	: 수사랑 코믹이 어떻게 양립하나요?
P1 	: 심각하지않은?
P1 	: 막 우리코난보고 저녁에잠못잔다거나 하지않는것처럼 ㅋㅋ
P0 	: 아하 ㅋㅋㅋㅋ 그 일드 특유의 감성이 있는거같아요
P0 	: 저는 못따라가겠어요 ㅋㅋㅋ
P1 	: 전 좀 그게 웃기더라고요
P1 	: 웰케 기억력좋아 ㅋㅋ
P1 	: 몇시에 뭐했는지 넘 잘기억하는거요ㄱ ㄲ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 그게 좀 웃길수도 있겠네요
P0 	: 뻘하게 웃긴
P0 	: 대본이 좀ㅋㅋㅋ 사실과 동떨어져잇네요
P1 	: 그리고 범인도 되게 기억잘해!
P1 	: 스치듯 지나갔는데 ㅋㅋ
P1 	: 전솔직히 그 줄세워놓고 찾으라하면 못할거같은데 ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ아 그거 되게신기해요
P0 	: 며칠전 일 진술하고
P1 	: 그런 의미에서 순한맛 수사물들은 좀 재밌게 보는편이에요
P1 	: 스트레스  안받고 ㅋㅋ
P0 	: 코믹으로 보시는구낰ㅋㅋㅋ
P0 	: 저는 드라마같은거 너무 길어서 잘 못보거든요
P0 	: 그래도 스트레스 해소용으로는 좋은거같아요 오히려 기니까 꾸준히 볼수잇고
P1 	: 전 영화는 좀 아쉽더라고요
P1 	: 그 캐릭터들이랑 헤어진다는게ㅜ
P0 	: 아 맞네요 두시간동안 정들었는데 바로 이별하는거 좀 슬퍼요
P0 	: 혹시 좋아하는 영화 시리즈 있으세요?
P1 	: 반지의제왕이요
P1 	: 언제봐도 명작이야ㅜㅜㅜ
P1 	: 해리포터도 괜찮구요
P1 	: 넘 고전인가
