# FILE DATA
ID : MDRW2100031285
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 투수 8이닝까지 던지다 내려가쏘
P1 	: 축하해
P0 	: 아깝
P1 	: 오늘은 대승이네
P1 	: 체력관리 필요하니까
P0 	: 다 던질수있었는데
P0 	: 투수너무잘한당
P1 	: ㅋㅋㅋㅋㅋㅋㅋ좋겠네
P0 	: ㅋㅋㅋㅋㅋㅋ실시간으로 못봐서 쬐끔아쉽
P0 	: 관중있는 날이라 다행이다
P0 	: ㅋㅋㅋ관중 있는날 이겨야 좋지
P1 	: ㅋㅋㅋㅋㅋㅋ하긴 응원있어야 신나지
P0 	: 그것도 그렇고 팬들 슬프게 집가는거 너무 내가다 슬퍼
P0 	: ( {emoji:•}᷄Θ{emoji:•}᷅ )
P1 	: 맞아맞아 8이닝도 끝났으면 승리 확정이네 뭐
P0 	: 아냐 야구는 아직몰라ㅋㅋㅋ 그치만 지금도 3루출루해서
P0 	: 이길것겉오
P0 	: 같오
P1 	: 기분 좋겠다ㅎㅎ
P0 	: 야구는진짜 한이닝에 엄청많이도 점수따자나! 아까 한이닝에 5점 땃구
P0 	: 전에보니까 한 7점도 따더라
P1 	: 맞아맞아
P1 	: 뭐 방심하면 순식간이더라
P0 	: 마쟈
P0 	: 야구 보는데 만루야 울팀
P0 	: 2아웃이긴한데ㅠ
P0 	: 방금은 몸맞공으루 출루
P0 	: 3루는 사구로 출루
P0 	: 2루는 안타!
