# FILE DATA
ID : MDRW2100041807
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 구미사랑상품권 사나요?
P1 	: ㅋㅋㅋ내 폰도 이상하네 알림안오네 흠
P1 	: ㅋㅋ아뉴 샀나요?
P1 	: 진짜 춥지않나유..
P0 	: 난 주방좀 정리하려고
P0 	: 문닫고 에어콘틀엇다
P1 	: ㅋㅋㅋㅋㅋ아무래도 같은 지역이 아닌게 분명
P0 	: ㅋㅋㅋㅋ아까사모가 밖에가 시원한거같네 하면서 문열어둘까해서 네~햇는데그러고
P0 	: 에어콘은안껏더라 ㅋㅋㅋ나도 나중에 알앗지만
P0 	: 내가 놀면뭐하니잼잇다고
P1 	: ㅋㅋㅋ저번주꺼?
P0 	: 하니깐 다시보기하는데 막 엄청 웃기게 웃더라 ㅋㅋㅋ
P0 	: 나 양치하는데 막와서 정준하보라면서 ㅋㅋㅋ크ㅡㅡ
P1 	: ㅋㅋㅋ취향저격당했나봄
P0 	: 까엿네
P0 	: ㅋㅋㅋㅋ
P0 	: 나 오늘
P0 	: 모찌또됨
P1 	: 오 대박ㅋㅋㅋㅋ난 또 게임인데 ㅠㅠ
P1 	: 하나는 아직 애껴둠ㅋㅋㅋㅋㅋ당타뜨면 해야디 하면서
P0 	: ㅋㅋㅋ1번 ? 2번?
P1 	: ㅋㅋㅋ2번 남았슈
P0 	: 난 2번말구 1번이 한번더 나오긴함 ! 모찌도 1번에서나옴 !
P1 	: ㅋㅋㅋ이런 ㅠㅠ 나도 줘라!!ㅋㅋㅋ
P0 	: 자정넘어서 너무몰리니깐 ㅋㅋ1시반인가? 그때 카메라켜지더니 됨 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ흑흑....그땐한밤중인데요 .....ㅠㅠ
P0 	: 그니깐 ㅠㅠ ㅋㅋㅋ
P0 	: 근데 쿨라타랑 모찌랑 아주 사람들이 반응이다르네 ㅋㅋㅋ
P0 	: 나만 반대인가벼 ㅋㅋㅋ
P1 	: ㅋㅋㅋ언닌 큘라타가 더 좋은가
P1 	: 진짜 둘이 선남선녀야
P1 	: 둘 다 보조개 움푹 패여서는
