# FILE DATA
ID : MDRW2100004261
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오..
P0 	: 이렇게 바뀌네요 ㅎ..
P0 	: 여행으로 주제 살짝 바꿔봤어요 휴가 얘기 나와서
P1 	: 좋아요!
P0 	: 어디 가보고싶은곳 있으세요?
P0 	: 전 해외여행이 너무 가고싶어요
P0 	: 가본적 없거든요 ㅎ
P1 	: 저도 해외여행이 너무 가고 싶어요
P0 	: 저는 일본이요
P0 	: 친구들 다녀오는거 많이봐서
P0 	: 저도 가고싶어지더라고요
P0 	: 초밥 좋아하기도 하고 ㅎㅎ
P1 	: 일본은 다들 한 번씩은 여행 가봤더라구요
P1 	: 저는 러시아 시베리아 횡단열차 타보고싶어요
P0 	: 우와
P0 	: 중학생때 말로만 들어봤는대
P0 	: 멋진거같아요
P0 	: 잘 모르는데 얘기해주실 수 있어요?
P1 	: 저도 가본 적은 없지만...한 10일 정도 열차를 타고 중간 중간 역마다 내려서 잠깐 놀고...
P1 	: 다른 나라 사람들과도 친해질 수 있는 기회가 될 거 같아서 가보고 싶어요!
P0 	: 멋있네요..
P0 	: 확실히 10일동안이면
P0 	: 많은 사람들을 만나볼 기회가 될 것 같아요
P0 	: 멋있다. 저도 한 번 알아보고싶어지네요
P0 	: 겨울 좋아하신다고 하셨으니까
P0 	: 또 딱이네요
P1 	: 맞아요! 근데 이상한 사람들도 있고..인종차별 당하는 경우도 있고..
P1 	: 북한 사람도 만날 수 있다고 들었어요
P0 	: 우와 진짜 신기하다
P0 	: 근데 ㅠㅠ인종차별은
P0 	: 진짜 어딜가든 피할수가 없나봐요
P1 	: 맞아요...직접 당하면 너무 무서울 거 같아요
P0 	: 공감해요..
P0 	: 화가 나는데 어떻게 대처할지 생각하면
P0 	: 벌써 막막해지는 ㅠㅠ
P0 	: 예전에는 유튜브로
P0 	: 여성 혼자 인도여행하는 영상도 보곤했는데
P0 	: 그 뭐라고 하더라
P0 	: 성희롱 하는 것도 열받더라고요
P1 	: 이런거보면 여행 다니는 게 무서워요...
P0 	: 맞아요 ㅠㅠ
P0 	: 그래도 넓은 세상
P0 	: 못 보고 죽는 것도 억울한데
P0 	: 저는 어디 관광명소 같은데 가는 것보다도
P0 	: 예쁜 풍경 보는게 너무 좋더라고요
P1 	: 맞아요..관광명소는 사람도 너무 많고 기대한 거 보다 별로인 곳도 많은데
P1 	: 풍경은 사계절마다 다르고 다 느낌도 다르고
P0 	: 응응 맞아요
P0 	: 공기도 바람도
P0 	: 장소마다 전부 다르다는 게 신기하고 참 좋은 것 같아요
P0 	: 안되겠다 부자가 돼서.. 이곳 저곳을 다녀야지..
P0 	: 원래는 이번 여름에 부산을 가려고 했는데
P0 	: 예산이 모자라서 포기했어요
P1 	: 헉...부산..저도 부산 가보고 싶어요
P1 	: 근데 진짜 여행 다니려면 완전 열심히 모아야할 거 같아요
P0 	: ㅠㅠ 돈이 제일 문제네요
P0 	: 여기 저기 다니면서 책갈피 모으고 싶은 바람인데..
P1 	: 책갈피 모은 거 보면 당시 여행이 생각날 거 같아요
P1 	: 저도 나중에 여행을 가면 책갈피를 모아야겠어요!
P0 	: ㅎㅎ 소소하지만 좋죠
P0 	: 오 낮은 산은 괜찮겠내요 그럼
