# FILE DATA
ID : MDRW2100004897
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 일반? 흠
P0 	: 전 아직 그런 활동 해본 경험이 없어요
P1 	: 저는 지금 과외하고 있어요
P1 	: 한 달에 40만원 정도 버는데 재밌어요
P0 	: 과외 주로 무슨 과목 가르치세요?
P0 	: 멋있어요
P1 	: 수학이랑 영어요
P1 	: 엄청 어려운 건 아니고 초~중 수준 가르쳐요
P0 	: 그래도 대단하세요 저는 가르치는거에는 그닥 재능이 없어서 막 쉽게 설명을 못해요
P1 	: 중학교 때까지는 선생님이 되고 싶었거든요
P1 	: 고등학교 때도 멘토 멘티 봉사활동도 하고
P1 	: 원래 가르치는 걸 좋아해서 과외도 잘 맞았던 거 같아요
P1 	: &name1& 님은 진로가 어느 쪽이신가요?
P0 	: 우와... 저는 흠... 아무래도 전공 살리면 프로그래밍 할 것 같은데 적성에 맞는지는 잘모르겠어요
P1 	: 저도 아직 적성은 잘 모르겠는데 그래도 다른 것보다는 이게 그나마 잘 맞는 거 같다 라는 느낌으로 코딩하고 있어요
P0 	: 오오 코딩 주로 뭐 하시나요? 저는 지금 학교에서 다양한거 배우고 있어요 전부 다 조금씩 시작하는 느낌?
P1 	: 저도 아직 파이썬이랑 C만 배웠어요
P1 	: 내년에 자바랑 다른 것도 배울 거 같아요
P0 	: 저는 한꺼번에 파이썬, C, C++, 매틀랩 해서 머리 터질뻔 했는데 이번학기에 자바도 한다고... 교수님 살려주세요...
P1 	: 와 진짜 너무 힘드실 거 같아요
P1 	: 1~2개만 같이 배워도 헷갈리는데ㅜㅜ
P0 	: 진짜 조금씩 달라서 헷갈려요ㅠㅠ
P0 	: 파이썬하고 매트랩을 그래도 비교적 다른데 교수님이 같으셔서 헷갈렸어요ㅋㅋㄱ
P1 	: 그래도 들으면서 계속하다보면 잘하게 되겠지라는 생각으로 하고 있어요
P1 	: 조금이라도 배우고 이해한 게 있으니까~라는 생각으로 해요
P1 	: 긍정적으로 생각 안 하면 진짜 막막해서 우울해지더라고요
P0 	: 맞아요 방학때 인프런 인강도 신청해서 듣고 개강하고 강의듣고  하다보면 괜찮아지겠죠!! 희망을 갖고 공부합니다ㅋㅋㅋ
P1 	: 좋아요 같이 파이팅해요
