# FILE DATA
ID : MDRW2100037150
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 세종
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 전 ㅠ.^ 겁없이 산책 나갔다가
P1 	: 쫄딱 맞고 들어왔어요...
P0 	: 헉 진짜요?ㅠㅠ
P0 	: 근데 요새 날씨가 진짜 우산 챙기면 비 안오고
P0 	: 고민하다 우산 안가져가면 비와요ㅠㅠ
P1 	: 맞아요 -.- 엄청 얄밉다님가요
P1 	: 비 막 오다가 중간에 뚝 끊겨서
P1 	: 우산 괜히 가져온게 돼고 ㅠ.
P0 	: 그쵸ㅠㅠ오늘도 점심시간에
P0 	: 우산 안 가지고 나갔다가
P0 	: 한두방울 와서 돌아왔어요ㅋㅋㅋ
P1 	: 허얼 ㅠ!!!!! 그럴 땐 괜히 허무한 생각 들잖아요 ㅠ.^
P1 	: 그래도 봄이랑 달리
P1 	: 미세먼지 없는 거에 만족중이에요
P0 	: 맞아요ㅠㅠㅠ미세먼지 진짜 힘들었어요
P0 	: 그래도 진짜 가을인가봐요 이제
P1 	: 그러니까요!! 슬슬 시원하더라고요
P1 	: 저는 문 열어놓고 자다가 기온차 때문에 감기까지 걸렸어요
P0 	: 헉 진짜요?ㅠㅠ
P0 	: 환절기에 감기 걸리면 너무 고생인거같아요
P1 	: 그니께요 ㅠ.^ 아직 여름인줄 알고 반팔도 잔뜩 입고 다녔는대
P1 	: 어느새 가을이더라고요
P1 	: &name1&님은 어느 계절이 제엘 좋으셔요?
P0 	: 저는 봄가을 좋아해요!
P0 	: 원랜 봄을 더 좋아했던거 같은데 미세먼지때문에 이젠 가을이 더 좋아요
P1 	: 오 저두요!! 가을이 그리고 뭘 껴입기 시작하는 날씨라
P1 	: 멋낼 수 있어서 좋지 않나요
P0 	: 오 맞아요
P0 	: 여름은 한계가 있어서ㅠㅠ
P1 	: 맞아요 하나만 입어도
P1 	: 맞아요 한겹만 입어도 너무너무 힘들잖아요
