# FILE DATA
ID : MDRW2100031561
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 응..... 아빠도 다른 가족들도 도무지 왜 저러는지 모르겠데 심지어 그 전날에 뭐 싸운것도 아니고
P1 	: 평소에 사이...좋았고...
P0 	: 70먹고 이제 본인이 제삿상 받고 싶다 이런것인가오?
P1 	: 아 ㅠㅠ ㅠ 젠장 ㄱㅇㄱ
P0 	: (패드립 ㅈㅅ)
P0 	: 근데 인간의 도리라는게?
P0 	: 있지 않은지?
P1 	: (아님다 나도 아빠 앞에서 미친거 아니냐고 그랫음)
P1 	: 그니...까?
P0 	: 약속 최소 12시간전에는?
P0 	: 취소 의사를 밝혀야?
P0 	: 하지 않은지?
P1 	: 아니 뭔가 이유가 있었을 것 같긴해... 이유 없이 그러진 않았겠지?(아빠왈) 근데 본인이 무슨 시답잖은 일로 짜증이 났든? 제대로 된 어른이라면 말로 풀어야 하는것 아니냐고..
P1 	: 내말..이..
P1 	: 전날에...얘기를 하던지(ㅠㅠ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 진짜루 아까 잠깐 말햇는데
P1 	: 응ㅇ응응
P0 	: 좋아하는 들은 말잇음
P1 	: 뭔가용뭔가용
P0 	: 옛날에는 지혜가 없으면 노인까지 살아남지 못했는데
P0 	: 지금은 멍청이들도 살아남아 노인이 된다고
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 정말...로....정말...로....................
P0 	: 그래서 옛날에는 노인=지혜로운 사람이었지만
P0 	: 지금은....
P0 	: 그저...꼰....
P1 	: ㅎㅎㅎ...그냥 오래 산사람...
P1 	: ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ...................
P0 	: 근데 진짜 웃기다
