# FILE DATA
ID : MDRW2100016455
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 취업하셨나요
P1 	: 네 근무중입니다
P0 	: 아 일이 바쁘신가요
P1 	: 아녀 바쁘진않아요
P1 	: 근무중이세요?
P0 	: 네 월루중ㅋㅋㅋ 거기 오래다니셨어요?
P1 	: 네 저도 월급루팡이에요
P1 	: 오래됐어요
P0 	: 오래된분들 존경스러워요
P0 	: 전계약직ㅠ
P1 	: 에고ㅜㅜ
P1 	: 스트레스많으시겟어요ㅜㅠ
P0 	: 끝나면 이직해야하는데 쉽지않아요
P0 	: 정규직이 짱이에요
P1 	: 맞아요ㅜㅜ그렇다고들엇어요ㅜㅜ
P0 	: 지금 일하시는데 가장 스트레스 받는건 뭐에요?
P1 	: 근무환경이 좋아서 스트레스 없어요
P1 	: 원래도 스트레스받는성격도 아니공
P0 	: 오 진짜 부럽네요
P0 	: 재택도하세요?
P1 	: 저는 재택이랑 거리먼 직종이라
P1 	: 꿈같은이야기 ㅎㅎ
P1 	: 재택중이세요?
P0 	: 아하 전 재택중이에요
P0 	: 계약직에 어려운일이 아니라서 쥐꼬리만큼 받고 재택중ㅋㅋ
P1 	: ㅎㅎㅎ
P1 	: 계약기간 다되가세요ㅜ?
P0 	: 아뇨 아직 일년 남았어요
P0 	: 그동안 차근차근 준비해야죠
P1 	: 오 그럼 준비기간은 있네요 ㅎㅎ
P0 	: 스펙쌓구
P1 	: 분명 좋은곳이 잇을거에요
P0 	: 네네 정년까지 다닐수있는직장으로!
P1 	: ㅎㅎ화이팅하세요
