# FILE DATA
ID : MDRW2100047114
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 카카오톡
date : 20210104
topic : 기타/일상

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>연인
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: ㅎㅎㅎ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 없지없징~
P0 	: 구치구칭
P0 	: 근데 가까운거 하나는
P0 	: 진짜 맘에든다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 애기 출발하구
P1 	: 15분만에
P1 	: 도착해쒀
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 웅ㅋㅋㅋㅋㅋㅋㅋ그니깐!
P0 	: 왕
P1 	: 웅?!
P0 	: 좀있음 오실것같앙
P0 	: 인사팀 곧 오신대
P1 	: 아항~
P1 	: 구래구랭
P1 	: 이제 자리 배정받구
P1 	: 계약서쓰고
P1 	: 그러겠당
P1 	: {emoji}
P0 	: 와앙
P0 	: 뭔가
P0 	: 으른이 된 느낌야
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 떨린당
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 원래 으른이였다며!
P0 	: 근데 긴장은 좀 풀어졌엉
P1 	: 잘됐넹~~
P0 	: 사람들 되게 착학신거같엉
P0 	: 히히
P1 	: 들어가면서 느낀 분위기는
P1 	: 어땠오 애기
P0 	: 나 들어왔을땨
P0 	: 사람 3명 밖에 없어성
P0 	: 오늘 첫출근한 사람이라구 그랬는데
P0 	: 어떤 여성분이
P0 	: 친절하게 막 여기 앉으라고 알려주고
P0 	: 어느 팀이냐고
P0 	: 물어봐주고
P1 	: 오옹
P0 	: 아 &name1&씨! 이럼서
P0 	: 아는척 해줬옹
P0 	: ㅎㅎ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 또 일손 부족한곳에
P1 	: 우리 애기 같이 귀한분이 가시는뎅
P1 	: 당연히 그래야징!!
P1 	: 조아조앙~
P1 	: {emoji}
