# FILE DATA
ID : MDRW2100032522
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 짖짜 더 킹받는건... 그말투가 귀여워보일줄 모르고쓴다는거예여,,,,,짜장나요 ㅠㅠ
P0 	: 천지이저 뜬사진 진짜 아기카페모카빵같네요,,, 걍귀엽다는말{emoji:•}{emoji:•}
P1 	: 헉 제노 방금 버블왓어요 ㅠ
P1 	: 제노 버블은 안하시나요 ㅠ
P1 	: 제노 버블 이름 제똥이 진짜 미친고 아니냐구요
P1 	: 벌떼보이로 바까죠 ㅠㅠ
P0 	: 으악 저 드림아기들 버블 해찬 지성 마크 요로케해욬ㅋㅋㅋ ㅠ 아무래도 금전적이유땜시 ㅠㅠ
P0 	: 근데 .. 사실 늘릴까말까 고민중이긴 해요..
P0 	: 제똥이 사람들 반응보니까 장난아니게 귀엽게오는거 같아보여요,,
P1 	: 넘 기여워욪
P1 	: 진짜 완전 강쥐..
P1 	: 저도 정우도 지성 마크 제노..
P1 	: 정우랑 재현 했었다가
P1 	: 진짜 금전적인 이유로 놔줬어요..
P1 	: 정우는 진짜 자주 와요 효자..
P0 	: 맞아요 정우!!!! 저 정우도 해욬ㅋㅋㅋ!!!
P0 	: 정우...겁나 자주와요 진짜 천사 ㅠㅠㅠㅠㅠ
P0 	: 저 사실...6명해서 버블에만 이만원가량 쏟아붓는 여성인데.. 통장은 울고있지만 마음은 풍족하네요^_^...
P1 	: 아니 정우 버블 넘 웃기지않나요..
P0 	: 개웃겨툐....
P0 	: 진짜 어이엄ㅅ어요,,애 버블 보면.. 주제가 걍 이리저리 다 튀어요
P1 	: ㅋㅋㅋㅋ그러니가요..ㅠ 저도 정우버블 그립네요..ㅠ 흗..
P1 	: 정우 진짜 도라이.. 그 자체
P0 	: 긍까욬ㅋㅋㅋㅋㅋㅈ
P0 	: 진짜 애가 .. 셀카도 많이 보내주는데 말투가 걍... 희한한 말툰데 또 음성지원돼서 웃겨죽겠어요ㅠ
P1 	: 완전 강쥐여요
P1 	: 넘 귀엽지않나요 진짜 생긴것도 넘 예뻐여
P0 	: 진짜 넘 .... 넘.. 무해하게 생겪어요 ㅠㅠㅠㅠ
P0 	: 실제로보면 이메다핸섬가이일거같지만..
P1 	: 맞아요.. 사진상으론 진짜 넘 강쥐지만..
P1 	: 엠씨 ㅡㄷ해서 넘 좋어요
P1 	: 넘 잘어울리고 최고 ㅠ
P0 	: 보쓰 때 울던 게 엊그제 같은데 ㅠㅠㅠㅠ
P0 	: 지금 아주 성장한 게 보여서 .... 기특해죽겠어요
P1 	: ㅋㅋㅋㅋㅋㅋ아니 그러니까요 그땐 그냥 청순대장인줄로만...
P1 	: 생각했었는데요? ㅎ
P0 	: 진짜,,,요즘들어 할배가 드디어 정우를 세상에 보여주는 것 같아서.. 감탄스러워요ㅠㅋㅋㅋㅋ
P0 	: 강쥐 수납이 너무 많았죠,,,ㅠㅠ
P1 	: 맞아요 강쥐수납 ㅠ
P1 	: 아니 근데 진짜 한동안 수납 진짜 오바 아니었나요?
P0 	: 진짜.... 재수없어요,,,
P0 	: 그 얼굴과 그 목소리를!!!!
P0 	: 할배 좋은거 지혼자 보지말고 다같이 보자구요 좀 ㅋㅋ
P0 	: 저 진짜 정우보컬 갠적으로 넘..좋아하거등요,,ㅠㅠ
P1 	: 아니 저두요..
P1 	: 웰컴투더~~ 에서 진짜 첫 도입부
P1 	: 미치지않았나요
P1 	: 저 그거 콘서트 영상 맨날 보는거같아요
P0 	: 웰마플 정우 도입부는...그냥 갓,,,,,, 저 첨에 듣고 누가 부른지 찾아봤다니까요,,,
P0 	: 콘서트영상 미쳤죠ㅠㅜㅡ아 말나오니까 또 보고싶네여,,,
P0 	: 리플레이에서도 듣고..극락 갔던 기억이,,ㅋㅋ큐ㅠㅠㅠ
P1 	: 아니 넘 귀여워여 ㅠ
P1 	: 글구 마크랑 태일이 끌어안는부분
P1 	: 넘 귀엽지않나요?
P1 	: ㅎ
P0 	: 그부분 ㅠㅠㅠㅠㅠ애들 착장도 너무 귀여워서 도라요 저ㅠㅠㅠ....
P0 	: 말나온김에 다시 보러 갔어요,,, 걍 저영상 제 행복지키미,,
P0 	: 둘이 아주 뽈뽈뽈 뛰어가서 안기고 아주 잡아먹고싶네요,,,
P1 	: 맞아요..ㅠ 전 거기서 정우 입은 노란 자켛 너무 귀여우ㅓ서
P1 	: 손민수하고싶어서 찬아봤어ㅛ다구요..
P1 	: 그 노란자켓 찾아봤었는데
P1 	: 결국 넘 비싸서 포기햇슴다..
P1 	: 글구 내가 입으면 완전 개거지핏될거같은 그런..ㅎ
