# FILE DATA
ID : MDRW2100042618
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 맞아요 교육관...정문에서 멀어서 사실 1학년 1학기땐 정문을 잘 몰랐어요ㅋㅋㅋ
P0 	: 그니깐요 사망년부턴 어디서 밥먹는게 사치 느낌이라
P0 	: (물리적으로도 시간적으로도)
P0 	: 대충 싸오거나 생협만 다녔던 기억이 있어요 ㅠ
P1 	: ㅜㅜㅠㅠㅠ 사실 2학년때부터 학교를 못가서...
P1 	: 너무 아쉬워요ㅠㅜㅠㅠ
P1 	: 물론 방학때 기숙사 들어가긴 했는데 대면강의를 못가서 맛집을 못돌아다녔네요ㅎㅎㅠ
P0 	: 하 그러네요 ㅠ
P0 	: 이번학기엔 대면강의가 있나요~~?
P1 	: 그래도 1학년때 열심히 돌아다녀서 다행인 것 같아요ㅎㅎ
P0 	: ㅎㅎ맞아요 그나마 다행이에요
P1 	: 앗 하나도 없어요!!
P1 	: 교봉이 빼고는 학교 갈일이 없네요
P0 	: 아하!
P0 	: 그럼 이번에도 학교맛집과는...거리가 ㅠ
P1 	: 음 &name1&은 그동안 학교 앞에서 어디가 젤 기억에 남고 좋았나요ㅎㅎ??
P0 	: 저는 방콕익스프레스요!
P0 	: 거기랑 음 정문에 정갈한 한식이있었는데
P1 	: 앗 아직 안가본 곳이네요!!
P0 	: 이름이 기억이 안나요 ㅜ
P0 	: 제육볶음도 팔고 보리새우된장인가도 무지 맛있고
P1 	: 오 한식! 어딘가요?!!!
P0 	: 하루종일 나가서 공부하느라 집밥 그리운 고시생에게 영양가있는 밥집이었던 느낌이에요 ㅎㅎ
P1 	: 보리새우된장....맛있겠네요ㅜㅠㅠㅠㅠㅠ
P1 	: 대박....
P0 	: 산타비도 지이이인짜 많이 갔어요
P0 	: 너무 맛있고 친절하시고!!
P0 	: ㅋㅋㅋㅋ
