# FILE DATA
ID : MDRW2100024678
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오늘 비가오네요ㅜㅜ
P0 	: 따뜻한 북엇국 먹었는데 뜨듯하고 맑은국물이 좋아요 ㅎㅎ
P0 	: 오늘 저녁은 뭐 드세요?
P1 	: 아직 저녁을 못먹어서 지금 고민중이예요!!
P1 	: 혹시 메뉴 추천 가능하신가요
P1 	: 뭔가 간단하게 너무 배부르지않게 먹고싶네요 ㅎㅎ
P0 	: 저는 지금 로제짬뽕 먹고있어요!!!!
P0 	: 니뽕내뽕 추천합니다 ㅋㅋㅋㅋ
P0 	: 너무맛있어옼ㅋㅋㅋ
P1 	: 오오오 짬뽕!!!!
P1 	: 저희동네에는 근데 니뽕내뽕이 없네요ㅠㅠ 까비
P1 	: 요즘근데 로제가 유행인가봐요 로제짬뽕이라니!!!
P1 	: 생각만해도 맛있을것같네요
P0 	: 예전부터 있던 메뉸데 진~~짜 오랜만에 먹어요 ㅎㅎㅎ!!!
P0 	: 아아ㅠㅠ 없다니 아쉽..
P0 	: 아마 비슷한 매장은 있을것 같은데 없을까요ㅠ
P1 	: 아쉬운대로
P1 	: 매운로제파스타 시켰어요 ㅎㅎ
P1 	: 나중에 니뽕내뽕가면 꼭 먹어야겠네용
P0 	: 꺅 매운로제파스타...
P0 	: 벌써부터 속이 뜨거워집니다 ㅋㅋㅋ
P0 	: 어디서 주문하셨어요?
P1 	: 괴짜쉐프파스타라고 체인점인거같은데
P1 	: 아실랑가 모르겠네용
P1 	: ㅋㅋㅋ
P1 	: 얼른 먹고 오늘은 일찍 자야겠어요
P0 	: 앗 그맛을 음미하셔야죠!! 피곤하신가봐요ㅜㅎㅎ
P1 	: 넹 아직 화요일밖에 안됐는데도 피곤하네요ㅠㅠ
P1 	: 얼른 배달이 왔음 좋겠네요 ㅎㅎ
P0 	: 아아 몇분걸린다고 떴어요? ㅜㅜ 언넝와야할텐데
P1 	: 아직 30분정도 남았다는데
P1 	: 매번 이렇게 써놓고 더 일찍오더라구요
P0 	: 맞아요 ㅋㅋㅋ기대감을 덜으려고 그런가 ㅎㅎ
P0 	: 근데 비가와서 좀 걸릴것 같기는 하네요ㅠㅠ
