# FILE DATA
ID : MDRW2100045331
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 뭔가ㅈ대체재가 필요해
P1 	: 솔직히 물에다도
P1 	: 얼음 안넣으면
P1 	: 맛없어서 못마셔...
P0 	: 탄산 자극을 원하는거면
P0 	: 탄산수는 어때?
P1 	: 맛없어......
P1 	: 아무리 그래도
P1 	: 콜라->탄산수늑
P1 	: 는
P1 	: 너무 무맛...
P1 	: 차라리물을 마실래
P0 	: 난 맥주 줄이려고
P0 	: 탄산수 마시기 시작했는데
P0 	: 당이 없으니까 확실히 뒷맛이 깔끔해
P1 	: 그
P1 	: 당 대체제 음료 마시는 사람들도
P1 	: 대체적으로 그렇게 말하던데
P1 	: 난 잘 이해가 안가......
P0 	: 당 대체제 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 난 제로콜라는 좀 끝맛이 한약 느낌이라 별로였고
P0 	: 탄산수는 탄산이 훨씬 강한데
P0 	: 깔끔하게 탁 쏘고 끝나는 느낌이라
P1 	: 근데 난 청 안탄ㅈ탄산수는
P1 	: 걍 안들어가지더라구
P1 	: 그치만 청타면
P0 	: ㅇㅎ...
P0 	: 사실 나도
P1 	: 액상과당이지
P0 	: ㅇㅇ ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 글고 여행가서 처음 탄산수 먹었었는데
P0 	: 유럽놈들은 생수대신 탄산수 수시로 마시거든
P1 	: 거긴 물이 진짜 맛없다고 듣긴 했어
P0 	: ㅇㅇ 석회수?
P0 	: 일단 기본적으로 다들 수돗물을 마심...
P1 	: 아니 대체 뭘하면
P1 	: 상수도에 석회질 물이 흐르는걸까
P0 	: 지형이 그렇대 ㅋㅋㅋㅋㅋ
