# FILE DATA
ID : MDRW2100009986
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 동아리 듦?
P0 	: 동아리2개들었음
P0 	: 너는?
P1 	: 2개나??? 오ㅑ???
P1 	: 나는 동아리 뭐 있는지도 모름
P0 	: 하나는동아리랑모임사이에
P0 	: 있는거고
P0 	: 나머지하나는
P0 	: 좀어이없게들었음
P1 	: 엥 왜왜
P0 	: 우리학교는 모든 학과가 1학년 때 교수님하고 1학기에 2번정도 필수로 상담해야하거든
P0 	: 그래서 상담했는데 외국 수의사 이런 얘기가 나온거야
P0 	: 그래서외국으로나가는방법얘기하다가
P0 	: 갑자기관심있으면동아리를하나소개해주겠대
P0 	: 그래서알겠다고해서동아리장선배한테까지
P0 	: 교수님이직접연락해준거야
P1 	: ㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋ
P0 	: 그래서바로들어갔는데
P0 	: 알고보니까그냥스터디동아리였음
P0 	: 교수님이오해하심
P1 	: 엥
P1 	: 뭐여
P0 	: 중간에그만한다고
P0 	: 할수도없어서
P0 	: 그냥동아리에있는상태임
P0 	: ㅋㅋㅋ
P1 	: 뭐야 뭔데 그 전개 당황스럽네
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ나도동아리들어가서
P0 	: 활동내용을보는데
P0 	: 뭔가이상한거임
P0 	: 나도당황스러웠음
P1 	: 오ㅓㅋㅋㅋㅋㅋㅋㅋ 진짜 무슨 그런 일이 있냐
P1 	: 이야 스펙타클 하네
P0 	: 차라리모르면모른다고하시지
P0 	: 그교수님은
P0 	: 휴
P0 	: 너는왜동아리안하냐
P1 	: 1학년 1학기 밖에 안나갔는데 분과하긴 시간이 안되고 동아리 찾기도 귀찮아서 안함
P0 	: 그거단톡에알려주지않음?
P0 	: 올해1학기에도새로뽑았을텐데
