# FILE DATA
ID : MDRW2100028725
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저한테 전화왔을때가
P1 	: 친구 할머니가 돌아가셨을땐데
P0 	: 네네
P1 	: 친구 와이프가
P1 	: 자긴 안가겠다고 했대요
P0 	: 와...
P1 	: 친구가 이게 말이되냐고
P0 	: 근데 저 전남친네 형수도 시부모랑 연끊고 생일에도 안찾아가고 그러길래
P1 	: 네
P0 	: 형수도 형수겟지만 시부모 보통 아니겠다는
P1 	: 그쵸
P0 	: 그런 생각이 들었거든요...
P1 	: 하나를 보면 열을 안다고
P0 	: 그래서 더 결혼생각 안한것도잇어요
P0 	: ㅎㅎ..
P1 	: 잘하셨어요
P0 	: 데이트중에 영통 거셔가지고
P1 	: 헐?
P0 	: 남친이 끊고 그랬는데
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 전 한번도 뵌적없어요
P1 	: 저 예전 소개팅녀가
P1 	: 그렇게 만날때마다 엄마가 전화해서
P0 	: 아이고..
P1 	: 제가 도망쳤자나요
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 도망칠 신호를 미리 주면
P0 	: 감사해야돼요
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 조상님께 감사
P0 	: 근데 저 아까 님이 여친이랑 싸운 얘기
P0 	: 뭔가 알거같기도 해요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 제 지금 남친 왜케 맨날
P0 	: 친구랑 밤마다 드라이브를 그렇게 가요
P1 	: ㅋㅋㅋㅋㅋ 느낌 알겠죠
P1 	: 그느낌
P0 	: 남자 둘이서 대체 왜 밤에 해수욕장 드라이브를 가서
P0 	: 토스트를 먹고오는거지
P1 	: 잉?
P0 	: 지금 해수욕장 사진 보내서 자랑해요
P1 	: 기분 묘하게 이상하죠?
P0 	: 넼ㅋㅋㅋㅋㅋ
P0 	: 이게 쌓이면 1년뒤엔 싸울수도 있겠구나 싶네요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 싸우지 마시구요
P0 	: 밤마다 맨날 동네친구 만나서 드라이브를
P1 	: 어느정도 봐주시다가
P0 	: 왜하는거야
P0 	: ㅋㅋㅋㅋㅋ넼ㅋㅋ
P1 	: 진짜 서운하면
P1 	: 남친 기분 안상하게
P1 	: 잘 말해봐요
P0 	: 넼ㅋㅋㅋ 아잉 써먹었더니
P0 	: 좋아하네요 뭔가 고전인데
P0 	: 이게 먹히다니
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 좋아해요?
P0 	: 네 좋아하네요 와아아
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 제가 남자니까
P1 	: 제가 좋아하는건
P1 	: 남친도 좋아할거에요
P1 	: ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 근데 애교는
P1 	: 남자들 다 좋아하죠ㅋㅋㅋ
P1 	: 여친이 애교부리면 싫어할 사람이 있을까요?ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 전 보통 남친이 애교부리는 편이엇단 말이에요
P1 	: 그럼 남친한테 애교를 유도해봐요
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 애교를 부려보거라
P1 	: 저 여친하고 제일 크게 싸웠을때가
P1 	: 저 아픈데 그친구 만나러 갔을때에요
P1 	: 저같은 불상사가 생기지 않게 잘 대처하세요
P1 	: ㅋㅋㅋㅋ
