# FILE DATA
ID : MDRW2100007895
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 즐겨먹는 음식은 뭐예요??
P1 	: 저는 라면 좋아해요
P1 	: 간단하기도 하고 든든하기도 하고
P1 	: &name1&님은 어떤 음식 좋아하세요?
P0 	: 져는 쌀국수랑 샤브샤브요 ㅋㅋㅋ
P0 	: 요즘 1인샤브도 너무 잘되어있어서 혼먹하기도 너무 편하규~#
P1 	: 1인샤브도 있군요
P0 	: 그리고 저는 라떼를 사랑합니다.
P1 	: 라떼 좋죠
P1 	: 저도 진한건 못마셔서
P1 	: 라떼나 아예 다른 음료 마셔요
P0 	: 아메리카노는 진짜 한여름에 더울때가 최고예요 ㅋㅋㅋ
P1 	: 아아 최고!
P0 	: 저는 어딜가든 라떼만 마셔용ㅋㅋ 라떼 맛있게 하는곳 발견하면 진짜 행복 ㅠ
P1 	: 그런 카페가 주변에 있으면 좋죠
P1 	: 가끔은 프랜차이즈 아닌 곳을 돌아다니는데
P1 	: 그런데에서 맛난거 찾으면 기분이 더 좋더라구요
P0 	: 진짜요ㅠㅠㅠ
P0 	: 프차도 만드는 사람마다 커피맛이 변해서 개인카페라떼가 맛있으면 진짜 세상을 구한것같은ㅋㅋㅋ
P1 	: 맞아요
P0 	: 가장 최근에 먹은 배달음식은 뭐예요?
P1 	: 치킨이요
P1 	: 배달하면 역시 치킨이죠
P0 	: 오! 저도 치킨ㅋㅋㅋㅋ 어제저녁에 먹었어요 ㅋㅋㅋ
P0 	: 근데 함정은 치킨보다 사이드 떡볶이가 더 맛있었다는..
P1 	: 떡볶이가 같이 오는 브랜드가 있나요?
P0 	: 요즘 치킨집에 많이 있더라구요!
P0 	: 치즈볼은 기본이고 핫도그 떡볶이 튀김까지도 있었어요!
P1 	: 저도 치즈볼은 자주 먹었어요
P0 	: 어제 메인은 치킨이었는데 치킨이 별로 맛이없었어요...
P0 	: 쩝...
P1 	: 아쉽네요
P1 	: 떡볶이를 사고 치킨이 딸려온 느낌이시겠군요
P0 	: 아 맞아요 ㅋㅋㅋ 사실 첫주문이벤트라고 떡볶이 준다고 써져있어서 시켰는데 이유가 있었어요..
P0 	: 그리고 거긴 떡볶이가 치킨만큼 메뉴가 많았어요! ㅋㅋㅋ
P1 	: 혹시 떡볶이집 아닐까요
P1 	: 치킨집으로 위장한
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 그 브랜드가 추구하는게 그런가봐요
