# FILE DATA
ID : MDRW2100045163
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 언니 오늘 연어 먹었다며?
P1 	: 맞아 진짜 극락이였어
P1 	: 나는 연어를 진짜 좋아하는거같아..
P1 	: 너는 뭐먹었어?
P0 	: 진짜 맛있겠다.. 나도 알바비 들어오면 시켜먹어야지
P0 	: 난 햄버거 먹을까 고민하다가 그냥 고기 시켜서 밥먹었어
P1 	: 잘했어ㅠㅠ
P1 	: 내가 건강 챙기면서 끊은게
P1 	: 라면이랑 햄버거야..
P0 	: 헐.. 나 햄버거 귀신인데...
P0 	: 사실 지금도 배고파서 뭐 먹을까 고민중이었어
P1 	: 나도 1955버거 엄청좋아해서 자주시켜먹었어
P1 	: 지금? 저녁언제먹었는데?
P1 	: 근데 나도 시원한거먹고싶다
P0 	: 아까 알바 출근 전에 먹었어.. ㅜㅜ 이시간쯤 되니까 배고프더라고
P0 	: 나는 베토디 제일 좋아해!! 맛있엉
P1 	: 베토디도 먹어봐야하는데
P1 	: 근데 배달음식만 너무많이시켜먹으니까
P1 	: 돈이 너무 금방나가 ㅠ
P0 	: 맞아맞아ㅠㅜ 이럴때는 요리가 진짜 중노동이구나 싶어
P1 	: 요리할수있는 환경만 갖춰지면 나는 요리하고싶은데
P1 	: 그게안되니까 좀 아쉽다 ㅠㅠ
P1 	: 그래도 요리를해야 돈이 절약되긴해서!
P1 	: 나지금 카페음료가 너무먹고싶어
P0 	: 요즘엔 카페도 배달되니까 시켜먹으면 되긴하는데
P0 	: 역시 배달비가 좀 아깝지..
P1 	: 시간때문에 못시켜먹어 너무아쉽다
P1 	: 나 기숙사라 통금있어서ㅠㅠ
P1 	: 내일은 카페음료 먹는다..
P1 	: 메뉴 추천해줘
P0 	: 음... 나는 아이스티에 샷추가 조아하는데
P0 	: 친구들은 괴식이래ㅠㅠㅋㅋㅋㅋ
