# FILE DATA
ID : MDRW2100004100
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 공연ㅋㅋㅋㅋㅋㅋ
P0 	: 저도요
P0 	: 공연
P0 	: 조아하는 연예인 있으신가요
P0 	: 스무스하게 시작하기
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 저 남돌 전반적으로 좋아해요
P1 	: 근데 막 좋아하냐하면 그건 아니고..
P0 	: 훌륭하시네요
P1 	: 뮤비나 무대 보는거 좋아해요
P0 	: 아가페적 사랑 그런건거요
P1 	: 보다보면 다 귀엽긴 하더라구요
P1 	: 일본여돌도 좋아했고..
P0 	: !!!
P1 	: 그냥 떼거리로 나와서 춤추는게 재밌어요..
P0 	: 앜ㅋㅋㅋ 너무 웃겨욬ㅋㅋ
P0 	: 떼거맄ㅋㅋㅋ
P0 	: 최근 본 뮤비가 어떤건가요
P1 	: 근데 티케팅 너무 어려워욜
P1 	: 방탄이였나.. 태연이였나..
P0 	: 티켓팅 홀 어떤거 하셨어요?!
P0 	: 아 어려운걸 하셨네요
P1 	: 기억이 가물.
P1 	: 엑소요
P0 	: 아니 다 좋아한다믄서
P1 	: 물론 광탈.
P0 	: 잠.만.
P0 	: 저는 엑소 좋아했어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 약간 좋아하는 애들 옆애수
P0 	: 티켓팅 도와주는 그런 st였군요
P1 	: 네.. 전 외국 친구들이 좋아해서
P1 	: 그르냐.. 하고 옆에서 돕는..
P0 	: 잠만 영어 잘하시나봐요
P0 	: 너무 부럽네
P1 	: 아뇨 그냥 drink beer 이런거 잘해요
P0 	: 외국에서 살다오셨나요 혹시
P1 	: 잠깐 놀다온게 다에요
P1 	: 반년정도 놀다왔는데
P1 	: 그 사이 케이팝 입문..
P0 	: 붤드웨이에도 갔다오신거 같은데 지금
P1 	: 붤드웨이가 뭐죠
P1 	: 브로드웨이?
P0 	: 브로드우ㅐ이
P0 	: 함 굴려봤어요
P1 	: 줘눈
P0 	: ^0^
P1 	: 런-던에 잇엇워요
P0 	: OMG
P1 	: 알럽비티에스
P0 	: 쏘 그래서 한국 입국?
P1 	: 예아
P0 	: 런던도 뮤지컬 유명하잖어요
P1 	: 잠시 놀다 온 것.
P1 	: {censored}
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 케이팝 짱
P1 	: 뮤지컬 유명한데 안가봤어요
P1 	: 뮤지컬은 취향이 아니라서..
P0 	: 떼거리가 아니라 그런가(?)
P1 	: 아예 연극이나 발레 같은건 좋은데 뮤지컬은 기빨려욬ㅋㅋㅋㅋ
P1 	: 그런가봐요(?)
P0 	: 발레도 유명하잖아요
P1 	: 그래요?
P1 	: 내셔널 씨어터?
P0 	: 런-던에서
P1 	: 거긴 뭐가 하도 많아서
P0 	: 그러게요 영국은 걍 발에 차이는게
P0 	: 콘텐츠여서
P0 	: 한국? 미세먼지만 좀 차이죠
P0 	: 벗 비티에스 이즈 베리 굿
P1 	: 맞아요 베리 굿
P1 	: 덕분에 잉글리시 친구들 많이 사겼어요
P1 	: 비티에스 개이득
P1 	: 고마워 엑숴
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 고마워 방시혁
P0 	: 고마워 이수만
P1 	: 아 엑소는 콘서트 본 적 있어요
P0 	: 엇 저도요
P1 	: 정확히는 고척돔 밖에서..
P0 	: 예?!
P0 	: 그 뭐랄까
P1 	: 버스 타고 침흘리고 자다 잘못 내렸는데
P0 	: 그냥 분위기만 즐기면 됐죠
P1 	: 고척돔이더라구요?
P0 	: 운명아닐까요
P0 	: 보라는 운.명
P1 	: 근데 공연중이더라구요?
P1 	: 스엠 다 나오던데
P1 	: 엥시뤼 샤이니 엑숴
P1 	: 다 밖에서 들었어요
P1 	: 안에는 어떤가요
P1 	: 그 티케팅을 해내시다니..
P1 	: 안쪽 갈 운명은 아니였던...
P0 	: 아아 슴콘이셨군요
P0 	: 저는 그 전날에 노숙(?)해가지고 들어갔을걸요 아마
P0 	: 안에 근데 들어가도
P0 	: 저게 신동인지 이효리인지 구분 못해요
P0 	: 3층이면
P0 	: 그냥 밖과 다를게 없오요
P1 	: 노숙?!
P1 	: 현장 판매도 하나요?
P0 	: 네네 했었고
P1 	: 신동인지 이효리인짘ㅋㅋㅋㅋㅋㅋ
P0 	: 그 슴콘은 무료 입장인적 있었는데 선착순이었었어요
P0 	: 가물가물하네요
P0 	: 심장이 식은지 오래라
P0 	: 하지만 고마워 액소.
P1 	: 심장이 식엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그래도 신난다곤 들었어요
P0 	: 어우 신나죠
P1 	: 샤이니가 민호가 3층의 아버지라던데..
P0 	: 인연되면 볼링치고 같이가요
P1 	: 샤이니의
P0 	: 나 방탄.해볼개요.
P0 	: 예맞아요
P1 	: 넼ㅋㅋㅋㅋ 구래욬ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 뛰면서 3층까지 올라와요(?)
P1 	: 전 근데 춤만 추면 다 좋아해요..
P1 	: 헐 올라와요?
P1 	: 진짜 소중하다 최민호
P1 	: 결혼하자
P1 	: 콘서트도 기회되면 같이 가요...
P1 	: 코로나가 언제 끝날진 모르겠지만...
P0 	: 볼링도 같이 쳐줘요
P0 	: 제가 찾아보다가 없으면 진짜 연락할게요
P0 	: 최민호 그에게 청혼을 할 생각인가? 줄이 많이 길다. 각오해라.
P1 	: 좋아yo
P1 	: 티케팅보다 더 길겠죠
P1 	: 티켓팅
P1 	: 진짜 공연 보러 가고 싶네요ㅠㅠㅠㅠ
P1 	: 이번에 무슨 뮤지컬 세븐틴도겸 나온다던데
P1 	: 시아준수랑
P1 	: 비투비 서은광도 나오고..
P0 	: 뭐죠? 그 별들의 잔치는?
P0 	: 대박적이네여
P0 	: 코로나끝나면 꼭...꼭 가기로
P0 	: 눈물나네
