# FILE DATA
ID : MDRW2100007916
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 기타 사회 생활 및 활동>동호회/봉사 단체

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 동호회?라 참여하시는 모임 있으세요
P1 	: 동호회..
P1 	: 하고싶은건 있는데 여건이 잘 안되네요
P1 	: 예전에는 탁구 잠깐 했었는데
P0 	: 음 저는 온라인이 아니라 오프라인 동호회면 따로 참여한적 없는것같기도하네요
P0 	: 학교다닐때 동아리? ㅋㅋ
P1 	: 오 학교가닐때 무슨 동아리 하셨었나요?
P0 	: 독서? 와 너무 오래도서 기억도 안나요
P0 	: 봉사 단체도... 딱히 아는게 없네요
P1 	: ㅋㅋㅋㅋ저는 교육봉사 동아리였거든요!
P1 	: 지금은 잘 안하지만 그때는 되게 뿌듯했던것같네요
P1 	: 중학생때는 봉사점수 채우는게 또 의무였던걸로 기억하는데
P1 	: &name1& 님은 어땠나요?
P0 	: 고등학교 때는 의무기도하고 하다보니 정붙여서 오래했었어요
P0 	: 저도 저소득층이나 가벼운 장애있는 애들한테 공부 가르쳐주는거 했었어요 ㅎ
P1 	: 좋은 일 하셨네요 ㅎㅎ
P1 	: 얘기하다보니 또 다시 관심이 가고 그러네요
P1 	: 지금도 찾아보먄 할 수 있으려나요
P0 	: 있겠지요? 그러고보니 헌혈도 봉사활동이죠? 저 어제 헌혈했어요
P1 	: 오! 뭐 아프신데는 없으시고요?
P1 	: 저도 두달마다 헌혈다니고 있어요ㅎㅎ
P1 	: 저번에는 혈관 팍 터져서 고생했었네요
P0 	: 저는 이번엔 혈장했어요
P0 	: 막판에 폰겜한다고 지혈 안누르고있다가 혼났다는ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ지혈은 잘하셔야죠
P1 	: 혈장은 어때
P1 	: 요?
P1 	: 다른 점이 있나요? 전 항상 전혈만 해서
P0 	: 피를 다시 넣어줘서 부담이 적어요
P0 	: 2주마다 한번 할수있어서 간격도 적고요
