# FILE DATA
ID : MDRW2100005909
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 충남
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 1회 미만

P0 	: 이상형이 어떻게 돼요
P1 	: 난 대화 잘 통하고 귀여운 사람?
P1 	: ㅌㅋㅋㅋㅋㅋ
P1 	: 넌?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀여운거 좋아하시네여
P0 	: 나는 자기할일 잘하고 게임도 좋아하능 사람
P0 	: 내가 바쁜게 미안하지않아도 되는 사람
P1 	: 자기 할일 잘하는 사람 매력적이지
P1 	: 미팅 소개팅도 선호하는 편이야?
P0 	: 그치그치
P0 	: 미팅 소개팅 나쁘진않은데
P0 	: 사실 굳이?
P0 	: 안해도 만날순있으니까..
P0 	: 그냥 재미로 나가긴해
P0 	: 하하
P1 	: 오...자신있다 이런거야?
P1 	: 나도 미팅 소개팅 나쁘진 않은데
P1 	: 자만추라 나도 굳이긴해
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자신있다니
P0 	: 그치
P0 	: 알고있었어
P0 	: 결혼관은 뭐야 너
P1 	: 난 결혼관이랑 연애관이랑 비슷한거 같은데
P1 	: 친구 같으면서 재밌게 같이 살수있는??
P1 	: ㅋㅋㅋㅋㅋ사실 아직 결혼은 먼 얘기 같아보여서
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 헐 맞지
P0 	: 나도 편하고 재밌는데 가끔 설레는
P0 	: 그런사람만나고싶어
P0 	: 잘맞고
P0 	: 나랑 게임도하고 다른 취미도 같이 도전해볼수있는사람
P1 	: 다른 취미도 있어?
P1 	: 아직은 없는거야?
P0 	: 다른 취미 나 프로그래밍 배우고싶어
P0 	: 주식도!
P1 	: 프로그래밍은 어떤쪽으로??
P0 	: 그냥 간단하게 컴활딸수잏는정도?
P0 	: 나 게임회사 들어가고싶어ㅠ
P1 	: 헐 성덕이 되려구?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 내가 즐겁게 일할 수 있을곳같아
P0 	: 너는?
P0 	: 아니이거
P0 	: 이상형얘기라고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ
P0 	: 데이트 어떤 데이트 좋아해
P1 	: 나 여기저기 놀러다니는거 좋아하는데
P1 	: 요즘에 여기저기 다닐수가없어서... 문제야 정말
P0 	: ㅋㅋㅋㅋㅋㅋㅋ헐 나두
