# FILE DATA
ID : MDRW2100008266
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 운동은 뭐 하시나요?
P1 	: 운동은 걷기나 홈트하고 있어요!
P1 	: &name1&님은요?
P0 	: 저는 피티받고있어요!
P0 	: 핼스장애서 으쌰으쌰
P0 	: 홈트하면 보통 뭐하시나요?
P1 	: 저는 체력이 워낙 부족해서 간단한 유산소랑 스트레칭 하고있어요!
P1 	: 피티받으면 확실히 혼자할때보다 다르죠??
P0 	: 그쵸 배우는게 훨씬 수월하니까요
P0 	: 자세 잡는게 제일 도움 됐어요
P0 	: 그리고 워낙 빡세서 ㅋㅋ ㅠㅠ 체력이 금방 오르더라고요
P0 	: 가끔 홈트도 하려는데 뭐 좋은 영상 있나요?
P1 	: 이미 유명한 .. 땅끄부부 많이 보고해요ㅎㅎ
P1 	: 가끔 밖에 너무 덥거나 비올때 땅끄부부 걷기운동이 있는데 간단한데 막상 다 하면 땀이 나더라구요
P0 	: 땅끄부부님 정말 유명하더라고요
P0 	: 두분 너무 선하신분 같아서 볼때 기분이 좋아요
P0 	: 헬스장 쉬는 날에 한번 해봐야겠네요!!
P1 	: 맞아요!! 간단한데 효과가 좋더라구요
P1 	: 꾸준히만하면 집에서도 감량이 가능해서 최고예요
P0 	: 사실 다이어트할때는 식단이 대부분이니까
P0 	: 그렇게도 충분해 보이네요!!
P0 	: 혹시 입터질때 없으세요?
P1 	: 맞아요 식단만 잘지켜도 다이어트 잘되더라구요!
P1 	: 저는 평소에 빵 엄청 좋아하는데 자제하려니까 힘들어서
P1 	: 통밀식빵 가끔 점심으로 먹어요 샌드위치 해서요 !
P0 	: 아 샌드위치 좋죠!
P0 	: 저는 한식을 너무 좋아해서 문제예요
P0 	: 가족들 밥먹는데 자꾸 한입만 하고있어요 ㅠㅠ
P1 	: 한입만 먹는게 제일 맛있죠 ..
P1 	: 한식은 그래도 채소가 많아서 건강에는 좋을 거예요 ..ㅎ
P0 	: ㅋㅋㅋ저는 국을 너무 탐해요 ㅠㅠ
P0 	: 김치찌개만 보면 하...
P1 	: 김치찌개 너무 맛있죠 ㅠㅠ
P1 	: 국이 건강에 별로 좋지않다는데 저도 국을 너무 좋아해요..
P0 	: 맞아요 ㅠㅠ
P0 	: 들어가는 나트륨 생각하면 양심에 찔리는데
P0 	: 너무 맛있는걸요 ..
P0 	: 라면도 그런 의미로 너무 좋아해요..
