# FILE DATA
ID : MDRW2100044339
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  4
contact_frequency  :  주 1~2회

P1 	: 아하
P1 	: 그렇겠다
	  나만해도 영상 보는거 디기 안봤는데 어느새 유튜브 보고
P1 	: 있으니ㅎ
P0 	: ㅇㅇ 나도 이제 긴 영상 잘 못 보겠더라
P0 	: 드라마도 막 끊어서 봄
P1 	: ㅜㅠ 예전엔 맥 끊김 이어서 잘 안봐지고 그랬는데 변하긴 변했다
P1 	: 짧은게 좋아
P1 	: 편해
P0 	: ㅇㅇ마져마져
P0 	: 나 요즘 대만드라마보는데
P0 	: 출판사 편집하는사람이 로맨스 소설속에들어감
P1 	: 오 소설 잘 아니까 뭔가 색다르려나ㅎ
P0 	: 자기가 거기서 여주 되려고 온갖 짓 다하는데. 다 뻘짓이라 웃기더라
P0 	: 소설 속이라 막나감 ㅋㅋ
P1 	: ㅋㅋㅋㅋ 재밌겠너
P0 	: ㅇㅇ아직까진 볼만해 ㅎㅎ
P1 	: 맞다 소설이라 생각하고 막 나갈수있는거 좋다ㅋ
P0 	: ㅇㅇ그런거 재밌어
P0 	: 재밌는 영화 뭐 있을까
P0 	: 또 볼거를 막 찾아다닌다
P1 	: 아 넥플릭스에 자연 환경 다큐 추천받았는데
	  알려주까?
P0 	: 오 좋지
P0 	: 뭔데 뭔데???
P1 	: 재밌는건아닌데ㅋㅋ
	  종이 빨대 같은 환경 다큐
P0 	: 종이빨대?
P0 	: 환경문제가 요즘 중요하니까 좋은듯
P1 	: 씨스피라시
P1 	: 오늘 회사에서 추천들음
P0 	: 아 그게 제목이야?
P1 	: 넥플릭스 다큐래
P1 	: 응 씨스피라시 제목이야
P0 	: 오  넷플 끊음 봐야지
