# FILE DATA
ID : MDRW2100025617
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 저도 마찬가지예요!
P1 	: ㅋㅋㅋㅋㅋ증말 반갑네여
P0 	: 흐흐
P1 	: 아니 그리고 남자들하고 연애할때도 참 뭐랄까 항상 신뢰가 없는데
P0 	: 네네네
P1 	: 그냥 외로워서 이어갔던거같아요
P0 	: 아 그리고 다들 너무 못생겼어요
P0 	: 맞아요 그리고 저는 하;;;
P0 	: 남친 있는 애들이
P0 	: 저 진짜 불쌍하게 봐가지고
P1 	: 근데 안맞으면 맞춰갈 생각안하고 헤어졋어요
P1 	: 아 진짜 그런 오지랖
P0 	: 저 성인이었을 때 첫연애가 26살이었나 그때 했거든요
P1 	: 네네
P0 	: 오 그래도 안맞춰주고 헤어질 생각을 하시다니
P0 	: 강단 있으셔요!!!
P0 	: 아 왜 또 나쁜 말이라지
P0 	: 남자 만날 때도 그게
P0 	: 성 애적 감정이라기 보단
P0 	: 정드는거 있잖아요,,
P0 	: 그게 컸어요 원래도 정이 많아섴ㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ그러신거같아요
P1 	: &name1&님은 참 따뜻한 분인거같아요
P1 	: 그럼 &name1&님은 한번 연애하면 오래하시나요?
P1 	: 한 남 이 나쁜말이래여
P1 	: {censored}들이 또...
P1 	: 그성별한테는 짤없이 헤어졌지만 여성분들한테는 못하겟어요 ㅋㅋㅋ
P1 	: 여성분들은 대화가 통하고 맞춰갈 가치가 있는 분들이라 계속 대화를 하게 되더라구요
P0 	: 아 그쵸그쵸
P0 	: &name2&님 지금 다른 분이랑도 얘기하고 계신거죠?!
P0 	: 저는 음 일 년 정도....?
P0 	: 그쵸 한 번 만나면 오래 가는 편 같아요!
P0 	: 잘 못잊어요 8ㅅ8
P1 	: 네네 근데 랠리가 막 잘되진 않네요 ㅋㅋㅋ 다들 현생이 있으셔서 그런지
P1 	: 그냥 아무나 말걸고있어요 ㅋㅋㅋㅋ
P0 	: 잘하고 계신거예요~!~!!
P0 	: {censored}
P1 	: {censored}
