# FILE DATA
ID : MDRW2100037506
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋ 누가 나오느냐에 따라 관객석 분위기도 다르죠
P0 	: 진짜욬ㅋㅋㅋㅋㅋ
P0 	: 그날 다 좌석이 좋다보니 진짜 주변에 다 팬들이었는데
P0 	: 낮에는 그렇진않았거든요 일반인들이 많은 느낌이고 다들 가벼운 관람? 고론 느낌이었는데
P0 	: 밤되니까.. 박수도 귀가 터져랔ㅋㅋ
P0 	: 밤공연때 팬분들 사이에 있어서 더 그런느낌을 받았던것 같아요
P0 	: 정말... 아... 분위기가 이렇게 다르구나
P1 	: ㅋㅋ 공연 가면 관객운도 중요한 것 같아요
P0 	: 맞아요ㅠㅠ
P1 	: 전 옆에서 귤 까먹는 사람도 있었어요..
P0 	: 한번은 관크경험있으시죠
P0 	: 오머나.....
P0 	: 세상엨ㅋㅋㅋㅋㅋ
P0 	: 공연전 방송나오지않나요???
P0 	: 와....우......
P1 	: 어르신이었는데..
P0 	: 아아.... 아.... ㅜㅜ
P1 	: 그래도 젤 최악은 넘버마다 영상 찍던 외국인이었어요
P1 	: 인스타용인지..
P0 	: 헐.......
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아니 어떤 공연을 보셨던거에요?? ㅠㅠㅠㅠㅠㅠ
P1 	: 앞부분마다 짧게 찍더라구요..
P0 	: 인터미션 없는 공연이었나요....
P1 	: 근데 2층 가면 은근 폰 보는 사람 많았던 것 같아요
P0 	: 핸드폰이라니...
P0 	: 근데2층은 확실히 대화하는사람들도 있더라구요
P0 	: 그사람들은 제재당하지도 않고 공연이 끝난건가요....
