# FILE DATA
ID : MDRW2100025330
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 뮤비는봤으니 이제 노래를 듣고
P0 	: 밝은날 노래와 뮤비를한번에...
P1 	: ㅋㅋㅋㅋㅋㅋㅋ노래는 그렇게 무섭진 않고 적당히 괜찮아여
P0 	: 아하
P0 	: 근데 그섬 뮤비랑 안어울리지않나???
P0 	: 들어봐야이해가되겠군
P1 	: 어 그게
P1 	: 가사가 원망과 처절함과 청승이 담겨있긴 한데
P1 	: 창귀처럼 대놓고 써늘한 느낌은 아니라ㅋㅋㅋㅋㅋㅋ
P1 	: 물론 그 안예은 특유의 지르는 창법이 무서운 분위기를 살려놓긴 합니다
P0 	: 오
P0 	: ㅋㄹㄹㅋㅋㄱ오늘 반차내고 일찍가는데
P0 	: 가면서들어봐야지
P0 	: 오늘 비오는날이라
P0 	: 음산한 노래 듣기 아주딱이네
P1 	: 아 맞네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 날이 딱
P1 	: 공포물 즐기기 좋은 날이네여
P0 	: ㅇㅇㅇㅇ
P0 	: 아주 분위기가 딱인듯ㅋㅋㅋ
P0 	: 안그래도 안예은 요새 그 만화 ost불러서
P0 	: 제피드에 자꾸뜨더라구요
P0 	: 창귀봐서그런가
P0 	: 관련내용이뜨더라구
P1 	: 아 야화인가 그건가보다
P1 	: 노래 좋다는데 아직 안들어봤네..
P0 	: 아 정말???
P0 	: 오웅ㅇ 이제 방금 백신도맞고
P0 	: 노래를 들어봐야겠네여
P1 	: ㅋㅋㅋㅋㅋㅋ저도 곧 들어보는 것으로..
P0 	: ㅋㅋㅋㄱㅋㄱ아 밝은곳을 찾아서 이제 능소화를...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ오시는 지하철에서 들으셔도 되겠어요
P1 	: 저는 창귀나 한번 더..
P0 	: ㅋㅋㄱㅋㄱㅋㅋ 저도 보고 다시돌아올게유
P1 	: ㅋㅋㅋㅋㅋ다녀오세여
