# FILE DATA
ID : MDRW2100014980
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  월 1회 미만

P0 	: 이번주 내내 비 오네
P1 	: ㅠㅠ꿉꿉해서 스트레스
P0 	: 바람은 좀 덜불어서 괜찮은데
P0 	: 어젠가 천둥번개치고 할땐진짜..
P1 	: 아 마저 그래도 오늘은 그냥 비만와서 다행이긴함..ㅇㅇ
P0 	: 취준때문에 도서관 가던것도 비와서 안가게됨..
P1 	: ㅋㅋㅋ나도..
P1 	: 일자리도 없고 답답해서 외출하려고해도
P1 	: 이시국..
P0 	: 그러게
P0 	: 알바라도 하면서 준비하면 좀 나을거같은데
P1 	: 알바자리 구하는것도 힘듦ㅠ
P0 	: 그래도 곧 명절이라 좀 생기지 않으려나..
P1 	: 아 맞네 그럴수도...
P0 	: 요즘 워크넷보면 일자리 월급도 거의 최저 맞춰서 올려놨던데..
P0 	: 알바든 일이든 빨리 내자리 하나 생겼으면...
P1 	: ㅋㅋㅋㅠㅠ슬프다
P1 	: 요즘 사람들 스펙 다 너무좋음...
P0 	: 맞아
P0 	: 지원자 스펙보면 토익부터 시작해서
P0 	: 별별 자격증다있는듯...
P1 	: 맞아..
P1 	: 일반회사인더 한국사 이런거도 다 따는사람들도 많고...
P0 	: ㅠㅠ업무랑 관련없어도 일단 한줄이라도 더 쓰는게좋으니..
P1 	: 취업의 길은 멀고도 험하다..
P0 	: ㅋㅋㅋ취업만하면 이것저것할 계획도 많이 세워놨는데...
P1 	: 취업이...ㅠㅠ 뭐하게?
P0 	: 청년내일채움공제 이런 제도 좋아서 눈여겨봤었음..
P0 	: 근데 취업이...
P1 	: ㅋㅋㅋㅋㅠㅠ내일배움카드 이런거도 좋은데
P0 	: 내일배움카드도 그렇고 요샌 면접비처럼 취업준비지원금?? 같은것도 준다던데
P1 	: 오..
P1 	: 해당되는지 알아봐야겠네
P0 	: 안그래도 취업힘든데 코로나랑 겹쳐서...
P0 	: ㅠㅠㅠ취뽀...
P1 	: 이와중에 취업하는 사람많다는게 믿기지가않음..
P0 	: 정부일자리사업 이런것도 잘 찾아보고
P0 	: 지원할수있는거 해야겠음..
P0 	: 그런것도 다포함한 통계라고하니까
P0 	: 나도 찾아보고 취업한 사람에 속하고싶다
P1 	: ㄱㅋㅋㅋㅋㅋㄱ
P1 	: 맞아 인턴이라도 할수있으면
P1 	: 이력서에 쓰기도좋고..
P0 	: ㅠㅠ일단 공모전이라도 열심히 참여해봐야겠다
P0 	: 준비기간동안 뭐했냐고 면접가면 백퍼 물어볼듯
P1 	: ㅠㅠㅠ스트레스
P1 	: 좋은 면접관이 왔으면...ㅋㅋㅋㅋㄱ
P1 	: 생각만해도 면접분위기 숨막힌다
P0 	: 취업준비할땐 취준스트레스 일하면 업무스트레스
P0 	: ㅋㅋㅋㅋㅠㅠ그래도 업무스트레스가 차라리 나을듯
P1 	: ㅋㅋㅋ그것만있겠나
P1 	: 같이 일하는 사람들이랑 신경전
P1 	: 업무로 핀잔주고...
P0 	: 그러니까 들어가기전에 스펙 빵빵하게 채우고 가야함..
P1 	: ㅋㅋㅋㅋ우리에겐 화려한 수상경력과 자격증이 필요하다..!
P0 	: 근데 딴사람들 스펙보면 진짜 무슨 몇줄씩이나 엄청나서
P0 	: 기죽음 ..
P1 	: 글게 진짜 요즘 왜이렇게 고스펙자가 많은지..
