# FILE DATA
ID : MDRW2100003036
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 기타 사회 생활 및 활동>종교

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 요즘 힘들지?
P0 	: 종교에 귀의할 생각은 없어
P0 	: ?
P1 	: 아니 아무래도 나는
P1 	: 내눈에 보이지않으면 안믿어서
P1 	: 넌 그럴 생각이 있니?
P0 	: 나도 잘 모르겠어.
P0 	: 종교행사에 참여한 적 있니?
P1 	: 어릴때 친구따라서 크리스마스에 교회간적있어
P1 	: 맛있는거주고 문상준다고해서 따라갔었지
P0 	: 뭐 먹었어?
P1 	: 그때 초코케이크 먹었던 것 같아
P0 	: 와 좋다
P0 	: 맛있었겠다
P1 	: 근데 교회에서 돈 걷어갔어
P0 	: 이런.
P1 	: 초등학생이었는데 천원이나 냈잖니
P0 	: 오백원 낶어?
P0 	: 이런... 너무해
P0 	: 용돈이 적었을텐데
P1 	: ㅠㅠ아마 그때 일주일에 천원이었을ㄲ야
P1 	: 너는 가본적있니?
P0 	: 나도 있지
P0 	: 내가 생각나는건 어릴 때 성당에 갔을때야
P1 	: 어쩌다 가봤니
P1 	: 아하 모태신앙이었어?
P0 	: 우리집이ㅜ천주교였는데
P0 	: 친구따라갔어
P1 	: 흠 그럴수도있지
