# FILE DATA
ID : MDRW2100029276
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 3회 이상

P0 	: 요새 게임 뭐해유
P1 	: 최근엔 야숨을 했어용
P1 	: 스팀게임도 쪼끔 했어용
P1 	: 쿠킹덤도 햇네요
P0 	: 와 젤다 재밌을 것 같아 스팀은 어떤건가유?
P1 	: 젤다 담에 우리만나면 직접하게해드릴수도잇사와요
P1 	: 스팀은 그 게임 모아두는 곳 같은 거구
P1 	: 최근엔 리듬닥터나 로보토미 코퍼레이션을 햇답니돠
P0 	: 세상에 우리 꼭 만나자ㅋㅋㅋㅋ
P0 	: 나 사실 젤다가 그 남자앤줄 알았는데 알고보니 다른 이름이더라
P0 	: 너무 충격이였어ㅋㅋㅋㅋ당연히 젤다인줄..
P1 	: ㅋㅋㅋㅋㅋㅋ 그 남자애는 링크!!
P1 	: 담에 만나서 맛난것도 먹고 겜도 하고 그럽시당
P0 	: 링크 이름 너무 어색해ㅋㅋㅋㅋ젤다가 찰떡 아니냐며..
P0 	: 좋아요 담에 만나면 꼭 같이 해유ㅠㅠ 난 요새 쿠킹덤 밖에 안해서 뭔 게임있는지도 모르게쒀
P1 	: ㅋㅋㅋㅋ젤다는 시리즈에 나오는 공주님 이름이엇다ㅜㅜ
P1 	: 쿠킹덤도 요새겜인데 머
P1 	: 플스론 겜 안햇어??
P0 	: 플스...한달동안 하고 그 이후로 쭉 방치돼있어...ㅋㅋㅋㅋㅋ
P0 	: 시디를 사서 해야하다보니 재밌는 게임 뭐가 있는지도 모르겠고ㅠ.ㅠ
P1 	: ㅠㅠㅠ삿던 겜 잇지않앗나,
P1 	: 그건별로엿어?
P0 	: 디트로이트? 맞나 이거 재밌었는데
P0 	: 선택지로 이야기가 흘러가다보니 뭔가 결말보고 난 후로는 지겨운 느낌이랄까ㅋㅋㅋㅋ...
P1 	: 글쿠나...
P1 	: 담에 기회되면 니어오토마타두 해보는건어때
P1 	: 베스타도 플스버전잇던데
P0 	: 처음 들어봐서 검색해봤는데 로봇친구들이 나오는구먼!
P0 	: 파판이랑 콜라보도 했었넹
P1 	: 마저마저 꽤 유명한 게임이야
P1 	: 근데 컴터보단 플스가  조작도 쉽다고하더라구
