# FILE DATA
ID : MDRW2100015754
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 자급제 폰 쓰시면 통신사는 어디거 쓰세요./
P0 	: 저는 그냥 케이티써요 ㅋㅋㅋ
P0 	: &name2&은요?
P1 	: 저도 그냥 에스케이 앜ㅋㅋㅋ
P1 	: 통신사에 얽매이긴 싫지만 스스로 얽매인다.
P0 	: ㅋㅋㅋㅋㅋ알뜰폰 쓰라고는 하던데 요즘
P1 	: 그거 더 저렴하고 싸다고 하는데 뭔가 하층민 되는 기분이라 정감이 안가요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 통신사있는게 익숙해서 결국 ㅋㅋ
P0 	: 훨씬 싸긴하더라구요
P1 	: 케이티는 멤버십 할인 어떤 편이에요?
P0 	: 그냥 별로에요
P0 	: 스벅사이즈업할인정도만쓰구
P0 	: ㅋㅋㅋㅋ쓰는게없네요
P1 	: 에스케이도 갈 수록 혜택 줄이고 별로에요 ㅜ
P0 	: sk는 근데 그 11번가에서 살때
P1 	: 그나마 최근엔 빕스 40% 할인 받았네요..
P0 	: 좋은거같애요
P0 	: 아!!
P1 	: 그거 11일 자주 놓쳐서 별로에요 ㅜㅜ
P0 	: 맞아요 저도 아웃백할인 가끔 ㅋㅋㅋ
P0 	: 11일에 이벤트할인 많긴하죠
P0 	: ㅋㅋ저는 에어랩 매달 노리는데 실패해요
P1 	: 그런거보다 뭔가 롯데잇츠에서 5,15,25일에 세트 사는게 더 좋아요 헤헤
P0 	: 오 !!!!
P0 	: 그런것도 있네요
P1 	: 네네 햄버거세트 할인해서 팔거든용
P0 	: 어떤 세트요???
P0 	: 와
P1 	: 한우불고기버거세트 4900원에 겟했어요!
P0 	: 오 버거킹이에요?
P0 	: 맛있겠다
P1 	: 어제(25일)도 무슨 버거세트 팔았는데 안좋아하는 거라 안샀어요
P1 	: 롯데리아에요...ㅋㅋ
P0 	: 헐 맛있죠 롯데리아도
P1 	: 버거킹은 어플 깔면 할인쿠폰 많이 뿌리더라구요 요즘 티몬엔 49% 할인쿠폰도 팔던데
P0 	: 맞아요 !! 그냥 사면 호구가 버거킹 ㅋㅋㅋ너무 뿌려서
