# FILE DATA
ID : MDRW2100007116
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 하는 게임 있어?
P1 	: 나는 쿠킹덤 하다가 그만 뒀어 ㅋㅋㅋ
P1 	: 게임에 금방 질려하는 편이라ㅠ
P0 	: 쿠킹덤... 나도 했지...
P0 	: 앗... 이런 이게 걸리다니...
P1 	: 역시 과거형이네
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 요즘 하는 게임 따로 있어?
P0 	: 나는 롤 배우는 중이야! 혹시 롤 하니?
P1 	: 나 롤 한 3판인가 하다가 관뒀어 ㅋㅋㅋ ㅜㅜ
P1 	: 너무 어려워서
P1 	: 근데 캐릭터들은 몇몇 알고 있어
P0 	: 엌ㅋㅋㅋㅋㅋ
P0 	: 무슨 캐릭터 알아?
P1 	: 그 문도박사??랑 트래쉬??랑
P1 	: 잔나 럭스 하 많이 알았는데
P1 	: 롤이 은근 보는게 재밌더라
P0 	: ㅋㅋㅋㅋㅋ트래슄ㅋㅋㅋㅋ
P0 	: 맞아 롤 너무 재밌지... 보는 것도 재밌고 하는 것도 재밌어
P0 	: 사실 나도 몇판 안했지만ㅎㅎ
P1 	: 그럼 롤토체스도 해봤어?
P1 	: 내 주변에서 롤 하면 롤토체스도 많이 하더라
P0 	: 아 맞아 나도 롤 입문을 롤체로 했어
P0 	: 내 최애 조합이 별수호자였는데 그게 사실 스킨이었다니 충격이었지
P1 	: 와 ㅋㅋㅋㅋ 다 이어지네
P1 	: 나 그 럭스 스킬중에 빔 쏘는거 있잖아
P1 	: 그거 좋아해 물론 남이 하면 좀 화나지만
P0 	: 응응ㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋ 맞아 그거 써서 죽일때 쾌감쩔지
P1 	: 스팀 게임은 안해??
P0 	: 응... 스팀에 게임 너무 많은데 그중에 뭘 해야할지 모르겠더라
P1 	: 난 공포 게임 좋아해서
P1 	: 리틀나이트메어 무료로 풀었을 때 해봤는데
P1 	: 공포보단 퍼즐게임 같아서 어려워서 공략법 찾아봤어 ㅋㅋㅋ
P0 	: 오오 리나메 이름만 들어봤는데 어때? 어렵지만 재밌어?
P1 	: 완전 재밌더라
P1 	: 근데 약간 뭐라고 하지 제3자 시점?이라서 가끔 답답했어
P0 	: 그래? 나도 담에 해봐야겠다
