# FILE DATA
ID : MDRW2100000972
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 기타 사회 생활 및 활동>종교

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 종교 있으세요??
P0 	: 아니요 무교에요. 존님은요?
P1 	: 앗 저두요 ㅜㅜㅋㅋㅋㅋ
P1 	: 주제.. 변경할까요?
P0 	: 아니요
P0 	: 이어갈 수 있어요
P0 	: 종교를 가지지않는 이유가 어떻게 되세요?
P1 	: 음 학교다닐때 종교에대해 배우는 과목을 들은 적이 있는데
P0 	: 네
P1 	: 자기가 되고싶어하는 모습이 된 신같은 존재를 믿으면서 본인도 그렇게 되고싶어한다고 생각해서요!
P0 	: 오 되게 좋은 말이에요
P1 	: 그게 남을 믿어서 된다기보단 결국 본인 스스로 할 수 있는거라 생각해서
P0 	: 저는 그냥 단순하게 눈에 보이지 않는 존재를 믿지 않아서 종교가 없거든요
P1 	: 딱히 믿어도 별 이득이 없는 것 같아요
P1 	: 저도 그런 이유도 있는 것 같아요!
P0 	: 그리고 신이 있다면 세계 각종문제들이 일어날리 없다고 생각해서..
P1 	: 맞아요 코로나 처럼요..
P1 	: 그리고 성경 이런 책들도
P1 	: 너무 구닥다리 감성이에요
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 너무ㅋㅋ.. 구시대적이죠
P1 	: 믿는 분들에겐 죄송하지만 제가 보기엔 그렇더라구요..
P0 	: 공감해요
P0 	: 그리고 무엇보다
P0 	: 안믿으면 지옥간다고 초면에 저주퍼붓는데 솔직히..
P0 	: 더 거부감 드는 것도 있어요
P1 	: 맞아요 ㅜㅜ 사이비도 많고
P1 	: 무엇보다 헌금내는게 참 이상하더라구요
P0 	: 저도요
P0 	: 왜 그걸 강요하는지
P0 	: 어릴 때 한 두번 끌려서 가본 적 있는데.. 안내니까 너무 눈치 주더라는..
P0 	: 이해할 수 없어요
P1 	: 맞아요 어릴때 저도 친구따라 교회간적있는데 혼자 안내니까 눈치보였어요
P1 	: 눈치안줘도 혼자안내면 혼자튀는 기분이라...
P0 	: 진짜 이상해요.. 신은 있다면서 이해할 수 없는 일만 일어나고.. 보이지도 않으면서 마음이라며 그걸 돈으로 내라 그러고.. 흠..누굴 위한 종교인건지
P1 	: 제일 윗분들이 돈이 많다는게 수상한 냄새가 많이 나는거같아요 ㅋㅋㅋㅋㅋ
P1 	: 그냥 전 무교니까 제이름따서 ㅇㅇ교...이런거 만들어서 혼자 믿죠머.....
