# FILE DATA
ID : MDRW2100005032
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 전북
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오늘 비 엄청왔죠
P1 	: 저 그비를 뚫고 서울갔다 오느라 힘들었네요
P0 	: 고생하셨겠네요
P0 	: 전 어제 베란다 문열고 자다가 아침에 비가..ㅠ
P1 	: 네 돌아오는데 하늘이 맑아서 참 그랬네요
P1 	: 맞아요
P1 	: 갑자기 쏟아져서
P1 	: 오후에 그쳐서 쫌 늦게 가면 안맞았을텐데 괜히 고생했어요
P1 	: 무슨계절 좋으세요?
P1 	: 전 봄은 꽃가루 알러지 때문에 힘들고 가을이 좋아요 ㅎㅎ
P0 	: 여름은 너무 덥고 습해서 싫고 겨울은 추워서 싫고
P0 	: 저도 봄 가을 좋아해요
P1 	: 딱 적당한 날씨라 좋아요
P1 	: 미세먼지 때문에 없는 계절인 여름도 그런면에선 좋아요
P0 	: 아 그건 좋네요
P0 	: 맑은 날씨 그립네요
P1 	: 네 맞아요
P1 	: 겨울엔 난방비가
P1 	: 작년에 대박이였어요
P0 	: 작년 겨울 너무 추웠죠
P1 	: 네 올해 겁나요 ㅜㅜ
P0 	: 일기예보 보면 잘 안맞아서ㅎ 더 정확했음 좋겠어요
P1 	: 맞아요 넘 틀려요 ㅡㅡ
P1 	: 기상청 반성해야 해요
P1 	: 겨울에 준비좀 단단히 해야겠어요 딸 패딩도 사고요
P1 	: 옷이 계절을 말해주죠 ㅎㅎ
P0 	: 맞아요 따뜻한 겨울을 보낼 준비 해야겠어요
P1 	: 네 그럼요 ㅎㅎ
