# FILE DATA
ID : MDRW2100026447
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아... 맞아요
P0 	: 그러려니 합니다
P1 	: 일하는 꿈꾸면 아침부터 기분이...ㅎㅎ
P0 	: 저희회사는 최근에 상무님이 그만두셨는데
P0 	: 그분이 상무인데도 일을 진짜 많이 하셨거든요
P1 	: 헉 사람 한 사람 빠지면 더 안바빠 지나요
P0 	: 그분이 일을 더 안가져오는거에
P0 	: 만족해야.....
P0 	: 그만두셨으니...
P0 	: 상무가 그만두고 대리가 한명 왔어요 ㅋㅋㅋㅋㅋ
P0 	: 지시할사람 대신 부려먹을사람 추가
P1 	: 아하....
P1 	: 그래도 다행이네요ㅋㅋㅋㅋ
P1 	: 저희는 이번에 사람이 많이 빠져서
P1 	: 일이 많이 늘었는데..ㅠㅠ
P0 	: 사람이 왜 많이 빠졌나요?
P0 	: 다들 지쳐서 그만둔?
P1 	: 업무가 많다 보니 다들 약간 치를 떨고 나가더라구요...
P1 	: 전 진짜 같이 일하는 분들이 별로 였음 저도 이미 나갔어요..
P0 	: 우리회사랑 똑같네....
P1 	: 하..ㅎㅎ 슬프네요
P0 	: 님은 어떻게 1년이나 버티셨어요?
P1 	: 그냥 죽었다 생각하고 버티니까
P1 	: 일년이 됐네요
P1 	: 원래 생각없이 해야 오래 한다고..
P0 	: 밥은 드시고 야근하세요?
P1 	: 밥은 집에 와서 먹어요
P1 	: 따로 회사에서 먹진 않아요
P1 	: 일단 일초라도 빨리 회사에서 벗어나야. ..
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 야근 3시간이상해야 야근수당준다고
P0 	: 어설프게 야근할거면 퇴근하라는데
P1 	: 와... 그걸 어떻게 또 챠우나요
P0 	: 이런말하는 사장 어떻게 생각하세요?
P1 	: 최대한 안하는게 낫겠네요
P1 	: 전 언제나 마음 속에 쟁반 하나를 품고 살아요
P1 	: 헛소리에 쟁반 노래방 한대
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저도 같이 일하는사람들이 다들 착하고 좋아서
P0 	: 버티는데
P0 	: 슬슬 못버티고 나갈 각재는 사람들 생기고 있어요
