# FILE DATA
ID : MDRW2100026354
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 건강 어떻게 챙기세요?
P0 	: 매일 운동하려고 하는거하구, 식자재 좋은거 사서 먹을려는거요
P0 	: 좋아하는운동 있으세요?
P1 	: 와 대단하세요 매일 운동이라니~
P1 	: 전 매일 오천보 걷기도 겨우 해요 ㅋㅋㅋ
P0 	: 저는 거의 안걷거든요ㅋㅋㅋ
P0 	: 진짜 집에만있으니 걷는데 쓰는 근육들이 퇴화하고있어요
P1 	: 저는 일부러 걷는거 하고 있어요
P1 	: 그 캐시워크라고 어플 깔면 만보기 나와요
P1 	: 걸으면 돈도 줘요~ㅎㅎ
P0 	: 만보 걸으면 얼마 주나요?
P0 	: 하루에만보걸어야 주나요?
P1 	: 아뇨! 그냥 백걸음만 걸어도 돼요
P1 	: 백걸음당 1원인가 그래요 ㅋㅋㅋ
P0 	: 아하!
P1 	: 저는 자주 걸으려고 하니까 그래도 만원씩은 쏠쏠히 모여요
P0 	: 나갈일있을때 켜야겠어요ㅋㅋ
P0 	: 오
P1 	: 애매한 친구들 생일선물은 그걸로 챙겨요 ㅋㅋ
P0 	: 지금은 하루에 천보도 안걸어요
P0 	: ㅋㅋ
P0 	: 괜찮네요~~~
P1 	: 칠천원 케이크 스벅 쿠폰 이런거 주고 생색내고 건강도 챙겨요 ㅋㅋ
P0 	: 오
P1 	: 확실히 걸으니까 배변도 잘되고 좋아요
P0 	: ㅎㅎ 운동해야하는데ㅠㅠ
P0 	: 원래수영좋아하거든요.  근데 1년넘게 못하고있어요
P1 	: 진짜 걷기 추천해요~ 전신이 천천히 자극받는 느낌?
P1 	: 와 저 코로나 끝나면 수영 배우고 싶어요~ 물이 너무 그리워요ㅠ
P0 	: 걷는거좋죠
P0 	: 수영좋아요ㅠㅠ
