# FILE DATA
ID : MDRW2100035184
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요? 아침은 드셨나요?
P1 	: 아침은 잘 안 먹어서요ㅜ
P1 	: 요거트 한잔 마시고 나왔어요
P1 	: 님은요?
P0 	: 전 오늘 늦잠ㅇ르 자서 걸렸어요 ㅋㅋㅋ
P1 	: 아이고ㅎㅎ
P0 	: 그냥 대화를 트기 위해 여쭤봤어요ㅎㅎㅎ
P0 	: 모닝커피랑 과자를 먹고 있어요
P1 	: 평소에는 아침 챙겨 드시나요?
P0 	: 평일엔 억지로 먹어요 안그러면 중간에 너무 배고파서요
P0 	: 시리얼이라도 먹고 나가요
P0 	: &name2&님은 어때요?
P1 	: 전 그냥 점심까지 죽 굶어요
P1 	: 대신 야식을 늦게 꼭 챙겨먹고요
P1 	: 그럼 안되는데ㅜ
P1 	: 시리얼은 어떤거 드시나요?
P0 	: 저도 야식은 되게 좋아하는데 야식중에 맵고 짠거먹음
P0 	: 위염이도져요 ㅠㅠㅋㅋ
P1 	: 위염이 심하신가요ㅜㅜㅜ
P1 	: 밤이면 맵고짜고기름진게 당기는데
P0 	: 아주 심하진 않는데 밤에 매운?고기 볶음? 이런거 먹으면 다음날 아침에 자꾸 기침해요 ㅋㅋ 위염증상으로,,
P1 	: 아 기침도 위염증상이군요ㅜㅜ
P0 	: 사람이 잘때 위산이 나오면
P1 	: 꼭 아침 챙겨 드셔야겠어요
P1 	: 네네
P0 	: 목에 있는 괄약근이 녹으면서 목쪽에 위산자극이 가거든요
P0 	: 목이 따가워지만 전 기침이 나와요
P1 	: 헉 그런 구조였군요ㄷㄷㄷ
