# FILE DATA
ID : MDRW2100042264
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아 이뻐요ㅠ 근데 닥마는 슬리퍼를 신어도 아프더라고요
P0 	: 맞아요 맞아요
P0 	: 아 슬리퍼도 있어요?!
P0 	: 샌달이랑 다른거죠?!
P1 	: 네네
P1 	: 샌달이랑 거진 같은데
P1 	: 뒷 축이
P1 	: 없는
P0 	: 아니 근데 뒤 축이 없으면
P0 	: 더 발에 힘주게 될텐데!!!
P0 	: 더 아프겠어요!!!
P1 	: 정말 오로지 멋쨍이 신발
P0 	: 맞아요 ㅠ
P0 	: 아나 저 지금 지하철인데
P0 	: 양옆에
P0 	: 한국 남성들
P0 	: 너무 불편하네요
P1 	: 다리에 힘 빡주세요
P1 	: 저 같이 쩍벌하려고 운동하는거에요
P0 	: 와
P0 	: 저 진짜 그래야겠어요
P0 	: 아니근데 지금 이 경우는...
P0 	: 남성들이 너무
P0 	: 살이많이 찌셨네요!
P1 	: 아 비도오는데
P1 	: 냄새,..
P1 	: 나겠네요...
P0 	: 와근데 옆자리 남자
P0 	: 나이도 많은데
P0 	: 지금 저랑 기싸움해요....ㅎ
P0 	: 이럴 땐 정말
P0 	: 하....
P1 	: 그저 어린여자만만하다고
P1 	: 그저그저
P1 	: 우리가 마동석같았어봐요 휴
P0 	: 제 말이 그 말입니다!!!!
P0 	: 본론으로 돌아가자면...
P0 	: &name2&님이 추천해주시는 운동화는 그러면
P0 	: 뉴발인가요?!{emoji:♡}
P1 	: 네!
P1 	: 뉴발 530 스틸그레이!
P0 	: 우아아 적어놔야겠어요!!!
