# FILE DATA
ID : MDRW2100018472
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그러면 음..당근 해보신 적 있으신가요?
P0 	: 당근하시나요?!
P1 	: 당근 베테랑입니다
P1 	: ㅋㅋㅋㅋ님은요?
P1 	: 당근은 만나는 게 묘민데 사실 비대면으로 더 많이 주고받고 하네 요 요즘
P0 	: 헉
P0 	: 저는 그 코로나 터지고 구매해봤어요
P1 	: 오 그렇죠
P1 	: 그이후에 더 흥했죠 당근이
P0 	: 최근에 구두 너무 급해서 거래해봤어요
P0 	: 어떤거 거래해보셨나요?
P1 	: 오 사이즈 잘 맞춰서 사셨나봐요
P1 	: 전 구두 팔아본 적 있네요 마침ㅋㅋ
P0 	: 앗 아뇨 넘 커서 깔창넣어 신었어욬ㅋㅋㅋ
P0 	: 헉
P0 	: 스틸레토요?!
P1 	: 아앜ㅋㅋ맞췄으면 신기했을 건데
P1 	: 로퍼 팔았어요
P1 	: 스틸레토 사셨구낭
P1 	: 급하게 사면 사이즈 맞추기 어렵죠ㅋㅋ
P0 	: 아뇨 로퍼샀습니다.
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 어..? 저 아니에요..?
P0 	: 갈색 로퍼
P0 	: 240사이즈
P1 	: ....?
P1 	: 아아
P1 	: 245
P1 	: 탈락!
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 아아
P0 	: 아깝다
P1 	: 소름돋았네요 잠깐
P0 	: 5가 모자랏다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ잠깐...인연이었다
P0 	: 5미리정도 먼 인연인걸로
