# FILE DATA
ID : MDRW2100024080
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 탁주요?
P1 	: 탁주요??
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 크 맛있겠다
P1 	: 술 좋아하세요?
P0 	: 네!자주는 안먹지만 먹을땐 좋아해요ㅋㅋ
P1 	: 전 술은 가끔만 마셔요 ㅋㅋㅋ 집에서 홀짝 정도??
P1 	: 막걸리도 가끔 마시구...
P1 	: 다음날 숙취없을 정도로만요!
P0 	: 아 종류는 어떤걸로 드세요?
P1 	: 거의 맥주 많이 마시구요
P1 	: 보드카 사다놓고 하이볼 말아 마시거나
P1 	: 가끔 아빠랑 막걸리
P1 	: 엄마랑은 와인 자주 마시규
P1 	: 스파클링 와인도 가끔이요 ㅋㅋ
P0 	: 와우!
P0 	: 요새편의점 와인이 너무 잘나와서
P0 	: 좋더라구요ㅎㅎ
P1 	: 그쳐 ㅋㅋㅋㅋ
P1 	: 예전에는 사디 힘들었는데 비싸구요
P1 	: 요즘은 저렴한 와인 많이 나오고 맛도있더라구요
P0 	: 이마트24에서 1년에 두번 세일하는 와인이 있는데 진짜 맛있더라구요
P1 	: 전 달달한 술 좋아해서요 ㅋㅋㅋㅋ
P1 	: 와 뭐예요?
P0 	: 이름이 긴데
P0 	: 라 크라사드 까베르네 시라라고
P0 	: 전 시라 와인이라고 불러요ㅋ
P0 	: 근데 달달하지 않아서ㅜㅜ
P0 	: 마느리 님한테는  어떨지 모르겠네요
P1 	: 어 이거 알아야!! ㅋㅋㅋㅋㅋㅋ
P1 	: 저희 엄마가 좋아하세여
P1 	: 같이 한 모금했다다 재 타입은 아니라
P1 	: 엄마한테 양보한...
P0 	: ㅋㅋㅋㅋㅋ평소에는 너무 비싼데
P0 	: 세일하면 득템이라ㅋ
