# FILE DATA
ID : MDRW2100021221
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 강원
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 3회 이상

P1 	: 난 요즘 대탈출 bgm으로 깔아둠
P1 	: 삼성앱에서 무료로 나오길래 ㅋㅋㅋ
P0 	: 대탈출 포맷은 재밌는데 출연자가 못따라가
P0 	: 여고추리반 멤버들이 대탈출 찍었으면 좋겠다
P1 	: 호동이가 젤 꼴보기 싫음
P1 	: 오버허고 이기적
P0 	: ㅋㅋㅋㅋ아 호동이ㅋㅋㅋㅋㅋ
P0 	: 인정
P0 	: 매번 오바쌈바 지겨움
P0 	: 1박2일적 습관못버림
P1 	: 나 네이버시리즈온으로 블랙위도우 결제함
P1 	: 두근두근
P1 	: 언제 봐야 할까
P0 	: 대박
P0 	: 언니 내일은 회사가는거 아녀?
P0 	: 금요일 밤11시 추천...
P0 	: 딱 새벽에 다보고 감성적이게 자는거야
P1 	: 사실 오늘 캐탣에서 볼라고 그랬는데
P1 	: 나 케텍 타면 지루해 미쳐
P0 	: 아니야 케텍에서 볼 스케일이아니야
P0 	: 케텍 몇시간타?
P1 	: 2시간!
P1 	: 보는거 아니야??
P0 	: 봤다는겨 말았다는겨
P0 	: 아 보며안된다고~~~
P0 	: 각잡고봐
P0 	: 짱잼이니까
P1 	: 아직 안 1봄 ㅋㅋㅋㅋ
P1 	: 오캐 여유잡고 보게쓰
P0 	: 나는 갯마을차차차 봤어
P0 	: 신민아 김선호 주인공 드라마
P0 	: 완전 옛날감성에 뻔한데
P0 	: 걍 둘이 잘어울려서 봄
P1 	: ㅋㅋㅋㅋ 둘은 잘어울리는데 내용은 맘에 안가는 군
P1 	: 사실 한국 드라마도 별론데 그런 옛감성은 더 별로
P1 	: 똑똑
P0 	: 요즘 볼게 너무 없어서 걍 보는거ㅋㅋ
