# FILE DATA
ID : MDRW2100023631
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>선후배
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 가족 이야기~~!
P0 	: 주말에 식구들이랑 무엇을 하셨나요~~~
P1 	: 그냥 밥해먹고, 티비보고, 얘기하고
P1 	: 집에서 있었어요
P0 	: 오오 정말 좋은 주말을 보내셨네요~~~
P0 	: 생각해보니 저도 식구들이랑 그렇게 지냈네요,,
P1 	: 다 그렇죠. 특히 요즘 시국엔
P1 	: 게다가 저흰 환자도 있고
P0 	: 맞아요!!!!
P0 	: 저희 엄마도 암환자라 그런지 이따금씩 골골... 합니다...ㅠ
P0 	: 마음을 놓을 수가 없어요~!
P1 	: ㅠㅠㅠㅠ
P1 	: 우리는 건강관리 잘합시다
P1 	: 솔직히 제 입으로 하긴 그렇지만 우린 나름 효녀지만
P1 	: 우리가 나중에 우리만한 효자를 낳아 기를 가능성이 높진 않으니까요...
P0 	: 맞아요~!~!!
P0 	: 공감 백만개입니다~!
P0 	: 저희 집도 딸들만 효도해요
P1 	: ㅎㅎ 우리집도요....ㅂㄷㅂㄷ
P1 	: 걔는 걔대로 이런소리 억울하게 느끼겠지만..
P0 	: 그러니깐 말이에요~!~!~!!
P0 	: 울 오빤 맨날 아프다면서 돈 타령만~~~!!
P1 	: 가사노동도 주로 우리한테 맡겨지고...
P0 	: 맞아요 맞아요....
P0 	: {censored}
P1 	: 저도 제 남동생이 참.....
P1 	: 뭐 아빠덕이지만 그래도 앞가림은 하니까 신경 끌까...
P0 	: 그래도 자기 앞가림을 해서 정말 다행이에요!!!!
P0 	: 1인분을 한다는 게
P0 	: 쉬운 일이 아니니까요ㅠ 요즘 세상엔 더더욱~~!
