# FILE DATA
ID : MDRW2100036892
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네! 저 빵 먹었어요
P1 	: 점심 드셨어요??
P0 	: 네네 ! 전 오리불고기요 ㅎㅎ
P0 	: 어떤 빵이요??!
P1 	: 크루아상이요!
P1 	: 오리불고기ㅠㅠ 밥 먹고싶네요ㅠㅠ
P0 	: 저는 크루아상이 먹구싶네요 .. 후식으로... !!!
P0 	: 밥도 야무지게 볶아서 먹었어요 ㅎㅎ !
P1 	: 그쵸!! 저건 후식으로 먹어야하는건데ㅠㅠ
P1 	: 밥 대신 먹었더니 배가 허해요...
	  칼로리를 그렇지않을텐데 ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ맞아욬ㅋㅋㄱ
P0 	: 빵은 칼로리가 항상 배신한답니다...
P0 	: 정작 공기만 들었는데...
P1 	: 공기만 들었다는 거 너무 공감합니다 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 배에 공기만 채웠네요ㅠㅠ
P0 	: 저녁을 든든하게 드셔야겠네요!!!
P0 	: 공기만 드셨자나요 ㅎㅎ
P1 	: 맞아요 갑자기 제 인생이 허망해졌어요 ㅋㅋㅋㅋ
P1 	: 소중한 한 끼를 이렇게 허하게 날려버리다니...
P1 	: 저녁은 꼭 육류가득 든든하게..
P0 	: 삼겹살 같은걸로 보충하자구여 !
P0 	: 좋아하시나요?
P1 	: 사랑합니다
P1 	: 금겹살이 돼도 포기할 수 없어요ㅠ
P1 	: 오늘도 집에 신문지 깔아야겠어요 ㅎㅎ
P0 	: 아 진짜 고기 집에서 먹으면
P0 	: 기름때문에 넘 힘들어요...
P0 	: 근데 포기할 수 없죠 ㅎㅎ
P0 	: 그래서 베이킹 소다도 샀어요 ㅋㅋㅋ 기름 없애려구..
P1 	: 밖에서 먹으면 편한데 요즘은 그 식당에 있는 시간이 너무 불안하죠ㅠㅠ ㅋㅋㅋ
