# FILE DATA
ID : MDRW2100006524
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: ㅠㅠㅠ그 일남들 여성인물 다루는 방식? 얘기하다가 ㅠㅠㅠㅠㅠㅠㅠㅠ 여튼............ 그 여성캐릭터만은 그 작품에서 등장하는 다른 흔한 여성캐릭터들과.... 너무 다른 방식으로 나왔고 그래서 너무 이상했어
P1 	: 아니 또 안끊어썻네 미안합니다 근데..
P1 	: 나중에 알고보니까 걔가
P0 	: ㅋㅋㅋㅋ응응
P1 	: 트렌스젠더였어...
P1 	: 뭘까...?
P0 	: 오잉
P0 	: ftom?mtof?
P1 	: 몸은 여자인데 정신적으로...남자인거 응응 ㅠㅠㅠ
P1 	: 그 부분도 편견적으로 다루지 않고...되게 그 캐릭터의 중요한 서사 중 하나로 다루더라고...??
P0 	: 그렇군아...
P0 	: 근데 결국 다 남자엿다는 점에서 뭔가 기분 나쁜걸
P0 	: 그치만...그래 소수자의 권리 소중히 해줬구나...
P0 	: 그것은...좋네...^-^
P1 	: 생각해보니 중간에 ㄷㅅ애자 커플도 한번나왔고...(잠깐이었지만) 진짜 알수 없었다....
P1 	: 응..........뭔가 이상한 짬뽕을 보는 기분이었어
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 뭔가 진보하려다가
P0 	: 후퇴했다가
P0 	: 진보 강강수월래 하기
P1 	: 근데 이작가 또 다른 작품에서...즈레 캐릭터 다루더라고
P0 	: 그래두 신카이 마코토는 그냥 기분 나쁘기만
P0 	: 그런 느낌이었는데
P0 	: 그냥 일본인이어서 그랬을 수도 있겠다
P0 	: 일본인 중에서는 진보한 편이었던거겠지
P1 	: 심지어 주요인물 남캐 중 하나가 첫눈에 반해서 꾸준히 고백했는데 계속 철벽치다가 결국 즈레 지향성 고백하게 된 비화도 있음
P1 	: 그치............이런진보 나는 이해안되지만...
P0 	: 오잉
P0 	: 진짜 웃기다
P1 	: 그래서...그 즈레 캐릭터... 여자애인 5명이랑 ㄴㄱ파티하는 장면도 나옴
P0 	: 그래 그래두 만화이면서 아포칼립스라서 다행이다
P1 	: 진짜뭐지...?싶었던.... 난데없이 엄청 주체적인 즈레캐릭터와 마주하기
P0 	: 현실적이었으면
P0 	: 진짜진짜 현실적이었으면
