# FILE DATA
ID : MDRW2100010052
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 1세대 고영이 (삼색묘)가 삼색2 고등2 검은2를 낳았는데
P1 	: 다 떠나고 삼색1(얘가 2세대) 고영이만 남았거든요
P1 	: 근데 문제의 수컷고영이 또와서....
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ2세대 고영이...가 임신을 해서 낳은 고영들이 고등어2 카오스1 삼색1인데...
P0 	: 아나
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 하 씁 지금 다 탈출하고 1세대와 2세대 3세대 삼색이들이 같이 살아요
P1 	: 수컷고양이가 언제올지 모르겠어요 다 암컷들만 남아서ㅜㅜㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 혼란하다 혼란해
P0 	: 수컷 그놈 잡아야하는거 아니에요?!!!
P0 	: 그럼 고양이 사료는 머쓰시나요
P1 	: 걔 진짜 독똑해요
P1 	: 저 그 로얄캐닌 쓰다가 다른거 추천받아서 썼는데
P1 	: 하 씁 뭐더라 엄마가게에 있거든요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ달려가서 알아봐봐요(?)
P1 	: 수컷고양이 얼마나 똑똑하나면 그 케이지?라고 하나 하튼 켄넬? 거기에... 아놔!!!ㅋㅌㅌㅋㅋㅋㅋㅋ
P0 	: 암튼 조은거 먹인다ㅡ이겁니다
P0 	: 네네 켄넬?!
P0 	: 잡으려고 시도 하셨군요
P1 	: 네! 근데 거기에 간식을 넣어놨는데 앞발로 퍼먹더라고요
P1 	: 찍먹 고양이
P0 	: 와
P0 	: 뭐냐
P0 	: 사람인가
P0 	: 아이큐 혹시 160?! 고양이가 아주 똑똑하네요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 약올라요ㅠ 그래서 포기했답니다...
P1 	: 어이없게 아기고영이들만 계속 잡혀서
P1 	: 어미고양이가 고생했다고요ㅠ
P1 	: 하 씁...
P0 	: 엄고양이..힘내
P1 	: 아 저 예전에 햄스터 키운적 있는데
P0 	: 네네
P1 	: 얘가... 탈출했어요 문열고 나가더라고요
P0 	: 아니 왜 빠삐용인 애들만 얽히시나요
P1 	: 아니 진짜 거짓말같다 아직도 기가막히네...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅌㅌㅋㅌㅋㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 사실 어릴때 키운거라 제가 관리 못한거일지도 모르지만
P1 	: 하튼 문열고 나갔더라고요...나참...
P1 	: 아침에 보니까 문열려있고 햄스터는 사라진 채...집만 덩그러니..
P0 	: 죄삼다 그 생선 가시바르느라 좀 늦었어요
