# FILE DATA
ID : MDRW2100039956
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋ그러니꺼요 완전 캐붕에 무매력캐됐어요 ㅠㅠ
P0 	: &name2&님 뜬금포이긴한데 혹시
P0 	: 스트릿우먼파이터는 안 보셔요?
P1 	: 앗 안그래도 보고싶어서 드릉드릉하고이ㅛ어요
P1 	: &name1&님 보시나요?
P0 	: 저 진짜 1화부터 엉덩짝 붙이교
P0 	: 봤거든요?
P0 	: &name2&님 드릉드릉 할 때가 아녀요
P0 	: 당장 당장 봐야한다고요!!!
P1 	: 앗 이런 안돼~~ 저 옛날에 댄싱나인도 완전 좋아햇었거든요
P1 	: 그래서 막 현대무용 배워보고싶어서 찾아보고 그럣어요
P0 	: 오마이갓 저 댄싱나인에 아직도 젖어 사는 사람
P0 	: 이윤지 아시나요?
P0 	: 아직도 공연영상 봐요
P0 	: 하휘동이었나... 제 첫사랑..
P1 	: 아니 이런.. 하휘동 결혼한거 아시조.. 같은 댄서랑..
P1 	: 저도 가끔 댄싱나인 영상 찾아봐요 완전 댄싱나인에 취해부럿다..
P0 	: 네!! 그 즌2 나온 발레리나 아녔..나요!?!?!
P0 	: 우왁 &name2&님 최애 댄서는 누구였나욤
P1 	: 전 최애댄서는 그 현대무용하시는 이선태 아시나요!
P1 	: 그 분이었는데 지금 ㄱ제일 기억에 남는 무대는 한선천이랑 김명규가 백조의 호수 했던거 기억나요!
P0 	: 우왁!!!!!!!!!!!! 네!!!!!!! 이선태 선이 굵은데 현대무용해서 완전 신기했던 기억이!!!!!
P0 	: 전 그 한선천이랑 김설진이?
P0 	: 왕의 남자였나
P0 	: 인연이었나?
P0 	: 그거 했던 거 기억나요
P1 	: 앗 저 기억안나는데 눔 아쉬워요 오늘 자기전에 찾아봐야겠어요
P1 	: 얼핏 기억나서 넘 아쉬워요
P1 	: 스트릿우먼파이터.. 갑자기 너무 보고싶어지네요
P0 	: &name2&님 당장 보시고 저랑.. 저랑
P0 	: 이야기 나눠주세요
P0 	: ㅠ.ㅠ !!
P1 	: 스우파.. 일단 방송시간을 먼저 찾아봐야겠아요!
P1 	: 저 그렇게 춤에 완전 꽂혀서 뜬금없지만 한 6달? 줌바댄스 엄청 열심히했어요
P1 	: 춤 배워보고 싶은디 방송댄스 이런데는 학생들 너무 많고
P0 	: 우왁!!!!! 실행으로 옮기시는 편이시구나!!!!!
P0 	: 전 몸치벅치라 그냥 제멋대로
P0 	: 엉  덩   이만 흔들어요
