# FILE DATA
ID : MDRW2100001974
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 남성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 기숙사 사시면 밥은 어떻게 해드세요?
P1 	: 기숙사 식사 나와요!!
P1 	: 아침이랑 주말은 안나오지만
P1 	: 그래서 주말에는 주로 시켜 먹습니다!!
P0 	: 식사가 나와서 다행이네요
P0 	: 주말에 뭐 시켜드세요?
P1 	: 주말에는 주로 초밥 혹은 치킨 혹은 돈까스
P1 	: 혹은 대학교 앞에 있는 도시락 가게에서 먹어요
P1 	: 한솥
P0 	: 오모 돈까스 맛있겠어요!!!!!!
P0 	: 혹시 학교 근처에 알촌도 있나요?
P1 	: 알촌..?
P1 	: 그게 뭐죠..?
P0 	: 알촌이라는 프렌차이즈 밥 가게인데
P0 	: 여기 되게 저렴하면서 맛있어요 하하 ㅎㅎ
P1 	: 우와..
P1 	: 배달되요?
P1 	: 나중에 가면 꼭 찾아봐야겠어요!!
P0 	: 보통 학교 근처에 있어서 배달은 안시켜봤어요 ㅎ ㅎ
P1 	: 왜 저희 학교는... ㅠㅠ
P1 	: 저희 학교는 외각이라..
P1 	: 좀 나가야 해요.. ㅠㅠ
P1 	: 앞애 몇몇 가게 빼고는..
P1 	: 그래서 배달 시켜먹어요..
P0 	: 그럼 배달비가 꽤 나오겠어요
P0 	: 요새 배달비 너무 비싸서 흑
P1 	: ... 맞아요..
P1 	: 배달료.. 3000원..
P1 	: 너무해에...
P1 	: 기본 요금까지..
P1 	: 그래서 룸메랑 먹어요..
P0 	: 그렇게라도 배달비를 줄이는 거 좋은 거 같아요,,,
P0 	: 예전에는 배달비 다 공짜였는데... 지금은..
